org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
PCE,4,0,2,6,1,0,0,8,0,5,3,1,5,6
PC방,1,2,2,1,1,3,1,0,2,2,0,1,1,1
Pin,4,0,0,1,0,24,0,0,0,2,7,15,0,5
Ray-Ban,5,1,1,3,0,1,0,4,2,4,4,1,3,2
RGB,0,3,1,4,4,4,5,2,3,5,3,4,4,2
RPG,4,4,9,0,0,0,1,1,3,5,1,0,2,1
Shot,4,0,0,1,0,24,0,0,0,2,7,15,0,5
SMR,2,0,0,3,0,0,2,2,2,2,2,0,3,2
SUV,3,2,0,2,1,3,1,1,3,3,2,1,1,1
TFT,1,2,0,1,1,2,1,1,5,3,1,1,1,2
TGS,8,9,14,3,2,1,3,3,7,9,2,2,4,1
that,1,0,0,0,0,1,0,0,0,0,0,2,1,1
the,2,0,0,0,0,1,0,0,0,0,0,2,1,1
to,2,0,0,0,0,1,0,0,0,0,0,2,1,1
TSMC,1,0,1,2,0,0,1,3,0,2,3,0,0,2
View,0,0,1,1,0,0,0,0,1,0,1,0,2,1
Visionox,1,2,0,1,2,1,3,1,5,3,4,1,0,1
VR,3,1,1,0,0,1,0,0,1,3,1,0,2,2
with,1,0,0,0,0,1,0,0,0,0,0,2,1,1
XR,13,6,6,4,4,7,4,5,11,12,7,5,9,9
YTN,0,1,1,2,0,1,1,0,2,2,0,1,2,1
가격,0,0,0,2,0,0,1,1,0,1,1,0,0,1
가격지수,1,0,1,2,0,0,0,3,0,2,1,0,1,1
가격표시장치나,0,1,1,2,0,1,1,0,2,2,0,1,2,1
가능성,3,4,0,3,6,5,5,1,7,6,2,2,3,2
가동,0,0,0,0,0,0,0,3,1,0,2,0,1,0
가민,6,2,2,4,0,8,4,2,2,4,4,10,3,5
가장,0,3,0,1,1,2,5,0,3,4,4,1,4,1
가전,1,0,2,0,0,2,0,0,0,1,2,0,0,0
각각각,3,1,1,2,0,2,3,4,3,4,5,0,3,2
강력한,0,2,0,0,1,2,2,0,2,3,4,1,2,0
강세,2,0,0,2,1,0,0,3,0,1,2,1,2,3
강조했다.,2,2,0,4,5,1,3,3,4,5,1,1,2,3
같다,1,0,1,1,0,0,1,1,0,0,1,0,1,2
같은,8,6,3,6,2,9,6,6,8,14,5,10,2,9
개발,8,8,6,6,4,5,7,7,10,12,9,5,8,5
개발한,0,2,4,0,0,0,1,0,1,2,0,0,0,0
개의,4,2,5,0,0,0,0,1,2,3,1,0,2,1
개최,0,0,1,0,0,0,1,0,0,0,0,0,2,1
갤럭시Z,0,2,0,0,1,2,2,0,2,3,4,1,2,0
거래,0,1,0,1,0,0,3,0,1,1,0,0,2,1
거래일,1,1,1,1,0,1,3,1,3,4,5,1,2,0
것으로,23,25,6,24,24,29,29,18,38,47,16,25,20,25
것은,2,0,0,3,0,0,2,2,2,2,2,0,3,2
게이밍,5,36,27,8,13,13,15,3,16,22,8,10,14,5
게임,13,38,40,10,12,10,15,4,20,28,6,8,13,5
게임쇼,2,5,4,2,1,1,2,1,2,3,1,1,0,1
경구용,2,2,0,1,1,1,1,0,4,3,2,2,0,1
경기,0,0,0,2,1,0,3,2,0,1,3,0,2,1
경우,1,0,1,2,0,0,1,3,0,2,3,0,0,2
경쟁,5,6,2,6,11,4,9,2,12,10,2,5,3,7
경쟁사들,0,2,0,3,5,2,4,3,4,3,1,3,2,1
경험,13,3,5,5,1,5,0,9,5,10,9,1,9,6
고객사,2,4,0,5,10,4,7,3,8,8,1,2,3,5
고성능,0,1,0,0,0,1,0,0,1,1,1,0,1,1
공개된,3,2,0,2,1,3,1,1,3,3,2,1,1,1
공급,2,4,0,2,4,2,6,4,10,6,6,2,0,2
공급망,9,4,4,5,1,9,6,2,6,8,6,13,4,8
공급키로,1,2,0,1,2,1,3,1,5,2,3,1,0,1
공무원,0,0,0,0,0,0,1,0,0,0,0,0,0,0
공시,0,1,0,1,0,0,3,0,1,1,0,0,2,1
공장,2,0,1,3,0,0,2,4,0,2,4,0,1,2
공정,1,2,0,1,1,2,1,1,5,3,1,1,1,2
공정장비,2,2,0,1,1,1,1,0,4,3,2,2,0,1
공정한,1,2,0,2,5,1,3,1,4,3,0,1,0,2
과정에서,0,0,0,0,0,0,1,2,0,0,2,0,1,0
관계자,1,0,0,1,0,0,1,1,0,0,1,0,1,0
관람객들,4,2,5,3,0,0,1,2,2,3,0,0,0,0
관련,0,0,0,1,0,1,2,3,0,2,2,0,3,5
관리하,1,0,0,1,0,5,0,0,0,0,1,3,0,1
관세,1,0,1,2,0,0,1,3,0,2,3,0,0,2
광전자,2,1,0,0,0,0,1,0,1,3,0,0,0,0
교장,0,0,0,0,0,0,1,0,0,0,0,0,0,0
구글,2,2,0,1,2,2,2,0,4,2,0,2,2,2
구동,1,2,0,1,1,2,1,1,5,3,1,1,1,2
국가,0,0,0,0,0,0,1,0,0,0,0,0,0,0
국정자원,2,4,0,2,3,5,6,10,9,6,8,6,2,3
국정자원에,0,0,0,0,0,0,0,3,1,0,2,0,1,0
국제뉴스,0,0,0,0,0,0,1,0,0,0,0,0,0,0
귀국,1,0,0,1,0,0,1,1,0,0,1,0,1,0
규모,3,7,0,4,7,3,12,3,16,10,12,3,1,4
규모로,4,4,0,3,2,8,4,3,6,6,1,10,0,4
규정,0,0,0,0,0,0,1,0,0,0,0,0,1,0
그는,2,2,0,4,5,1,3,3,4,5,1,1,2,3
그들,1,0,1,2,0,0,0,2,0,0,0,0,3,3
그래픽,1,5,4,1,2,1,2,0,2,3,1,1,2,1
그래픽카드,0,0,1,1,0,0,0,0,1,0,1,0,2,1
그린,2,0,0,3,0,0,2,2,2,2,2,0,3,2
그린시프트,2,0,0,3,0,0,2,2,2,2,2,0,3,2
근저항,1,0,2,0,0,2,0,0,0,1,2,0,0,0
글라스,5,1,1,3,0,1,0,4,2,4,4,1,3,2
글래스,3,2,2,1,1,1,2,0,4,4,2,3,1,3
기기,4,2,1,1,2,3,2,2,4,5,4,3,6,4
기념식,0,2,0,1,5,2,4,0,4,3,0,1,2,1
기능,5,1,1,3,0,1,0,4,2,4,4,1,3,2
기대하고,1,2,0,2,4,1,3,0,3,4,1,1,0,1
기록했다.,1,0,1,2,0,0,1,2,0,2,0,0,3,2
기반,5,1,3,2,1,3,0,5,2,3,4,0,4,2
기술에,1,2,1,2,5,2,4,0,4,3,0,3,1,1
기술주,1,0,1,2,0,0,0,2,0,2,0,0,2,2
기술지킴,0,0,0,0,0,0,1,1,0,1,1,0,1,0
기업들,1,2,1,3,5,3,5,3,4,5,3,1,1,4
기업으로,3,1,1,2,0,2,3,4,3,4,5,0,3,2
기여한,1,2,0,0,3,1,3,0,4,4,3,1,1,0
기자,1,5,4,2,2,7,3,0,2,3,1,4,2,1
김보라,1,0,0,1,0,5,0,0,0,0,1,3,0,1
김영호,2,2,0,0,2,1,2,1,4,4,3,2,1,0
나섰다.,1,0,1,1,0,0,1,1,0,0,1,0,1,2
나온다.,0,2,1,2,2,2,3,1,4,5,1,2,2,2
납품대금,0,1,0,1,1,0,3,0,1,2,1,0,1,1
낮은,1,0,1,2,0,0,0,2,0,0,0,0,3,3
내구성,0,2,0,0,1,2,2,0,2,3,4,1,2,0
내년,5,12,0,12,29,10,21,4,22,23,4,8,7,14
내달,0,0,1,0,0,0,1,0,0,0,0,0,2,1
내린,0,1,0,1,0,0,3,0,1,1,0,0,2,1
내부에,0,0,0,0,0,0,1,2,0,0,2,0,1,0
냉각,0,0,1,1,0,0,0,0,1,0,1,0,2,1
너무,0,0,0,0,0,0,1,0,0,0,0,0,3,1
넘치,1,10,8,2,4,2,4,0,4,6,2,2,4,1
네덜란드,1,0,1,1,0,0,1,1,0,0,1,0,1,2
네트워크,5,1,3,2,1,3,0,5,2,3,4,0,4,2
넥슨,0,2,4,0,0,0,1,0,1,2,0,0,0,0
넷마블,8,4,10,3,0,0,1,3,4,6,1,0,2,1
넷플릭스,2,1,2,2,1,1,0,4,0,1,2,0,2,2
노란색,0,1,0,0,0,1,0,0,1,1,1,0,1,1
높은,8,4,2,5,1,11,6,2,5,8,4,14,3,6
뉴스토마토,0,2,0,3,5,2,4,3,4,3,1,3,2,1
뉴시스,3,1,1,2,0,4,3,1,1,2,2,5,5,4
뉴에라,1,0,2,0,0,2,0,0,0,1,2,0,0,0
다양하게,0,1,1,2,0,1,1,0,2,2,0,1,2,1
다양한,3,5,5,5,3,2,4,4,3,6,3,3,5,3
단독,3,8,4,3,6,3,10,5,16,9,10,3,0,3
달러,0,2,2,1,2,2,2,1,3,5,0,2,2,1
담은,0,0,0,1,0,1,2,3,0,2,2,0,3,5
대금,0,1,0,1,1,0,3,0,1,2,1,0,1,1
대만,4,2,3,3,1,1,3,3,4,6,5,3,1,5
대비,8,4,4,9,2,5,8,10,9,17,13,7,9,7
대신,1,0,0,1,0,0,1,1,0,0,1,0,1,0
대장,0,0,0,0,0,0,1,0,0,0,0,0,0,0
대전,0,0,0,0,0,0,1,2,0,0,2,0,1,0
대죄,4,2,5,0,0,0,0,1,2,3,1,0,2,1
대표,6,7,3,6,10,7,9,1,10,14,2,7,6,7
대한,2,6,1,7,15,6,12,1,12,9,0,6,4,4
대해서,1,2,1,2,5,2,4,0,4,3,0,3,1,1
대해서도,1,2,0,2,4,1,3,0,3,4,1,1,0,1
대형,7,10,1,4,15,8,11,3,14,18,8,5,6,4
대회,0,0,0,0,0,0,1,0,0,0,0,0,3,1
더욱,2,1,1,6,1,1,1,2,2,3,1,2,3,3
덧붙였다.,0,2,0,2,5,2,4,0,4,3,0,1,1,2
데이터,0,0,0,0,0,0,1,1,0,1,1,0,1,0
데이터센터,0,0,0,1,1,1,1,2,0,2,3,0,1,2
덱스,0,2,0,0,1,2,2,0,2,3,4,1,2,0
도산지,1,0,1,1,0,0,1,1,0,0,1,0,1,2
도시,0,1,1,1,0,0,1,0,1,3,0,0,0,1
도움,0,2,0,1,5,3,4,0,4,3,0,1,1,2
도쿄게임쇼,6,17,17,6,6,4,7,2,8,12,2,3,6,2
두치와뿌꾸,1,2,2,1,1,3,1,0,2,2,0,1,1,1
듀얼,1,0,2,0,0,2,0,0,0,1,2,0,0,0
디바이스,5,2,2,1,1,10,2,0,4,4,5,9,1,5
디벨로퍼,0,0,0,2,0,0,1,1,0,1,1,0,0,1
디스플레,40,86,29,63,118,66,106,27,118,132,37,65,45,54
딜사이트,1,2,0,2,5,1,3,1,4,3,0,1,0,2
따돌릴,0,2,0,1,5,2,4,0,4,3,0,1,2,1
따라올,1,4,2,4,10,4,8,0,8,6,0,5,2,2
따르면,11,8,3,11,7,15,11,5,13,17,7,15,8,11
따른,0,0,0,1,1,1,1,2,0,2,3,0,1,2
뛰어난,0,0,1,1,0,0,0,0,1,0,1,0,2,1
라고,1,0,1,2,0,0,0,2,0,0,0,0,3,3
라닉스,2,2,2,2,0,2,6,2,6,8,10,2,4,0
라며,0,2,0,2,5,2,4,0,4,3,0,2,1,1
라인,2,4,1,4,5,2,8,3,9,7,4,2,2,3
레이저,3,6,0,3,6,3,9,5,15,9,10,3,0,3
로봇,4,2,2,3,0,3,6,5,6,8,10,1,5,2
롤러블,3,2,0,2,1,3,1,1,3,3,2,1,1,1
류현진,0,0,0,0,0,0,1,0,0,0,0,0,1,0
리미티드,0,1,0,0,0,1,0,0,1,1,1,0,1,1
리프팅,2,0,0,0,0,14,0,0,0,1,4,9,0,3
마감했다.,2,1,0,3,1,0,3,3,1,2,2,1,4,4
마사지,1,0,2,0,0,2,0,0,0,1,2,0,0,0
마약,2,2,2,2,0,2,6,2,6,8,10,2,4,0
마이크로,11,8,2,10,6,17,13,3,11,15,4,22,4,9
마쳤다.,0,1,0,1,0,0,3,0,1,1,0,0,2,1
마트,0,1,1,2,0,1,1,0,2,2,0,1,2,1
만나,1,2,0,2,5,1,3,1,4,3,0,1,0,2
만날,0,1,1,2,0,1,1,0,2,2,0,1,2,1
만에,1,0,1,2,0,0,0,3,0,2,1,0,1,1
만큼,1,2,0,2,5,1,3,1,4,3,0,1,0,2
많이,0,3,0,3,5,2,7,0,5,4,0,1,3,3
말했다.,9,20,2,25,50,18,36,8,39,37,3,16,11,22
맛집,2,1,2,2,1,1,0,4,0,1,2,0,2,2
맞춤형,0,0,0,0,0,0,1,1,0,1,1,0,1,0
매수세,1,0,1,2,0,0,0,2,0,2,0,0,2,2
매장,1,2,2,1,1,3,1,0,2,2,0,1,1,1
메뉴,0,0,0,0,0,2,1,1,0,1,0,0,1,1
메르세데스-AMG,0,1,0,0,0,1,0,0,1,1,1,0,1,1
메리트,0,0,0,0,1,0,2,1,0,0,2,0,2,0
메모리,0,1,1,2,1,3,1,4,0,3,6,1,4,3
메인,0,1,0,0,0,0,0,0,2,1,0,0,0,0
메인보드,0,0,1,1,0,0,0,0,1,0,1,0,2,1
메타,7,3,1,4,2,3,2,4,6,6,4,3,5,4
면서,2,0,0,4,1,0,0,2,0,1,1,1,1,2
명절,0,1,0,1,1,0,3,0,1,2,1,0,1,1
모델,0,1,0,0,0,1,0,0,1,1,1,0,1,1
모두,2,2,4,5,3,2,4,7,3,7,3,2,8,5
모듈,2,1,3,1,0,3,3,1,3,5,7,1,2,0
모바일,0,2,4,0,0,0,1,0,1,2,0,0,0,0
모빌리티,5,4,3,4,0,4,10,6,11,15,19,2,7,2
모션,1,0,2,0,0,2,0,0,0,1,2,0,0,0
목표주가,2,0,0,2,1,0,0,3,0,1,2,1,2,3
무한,5,4,2,2,3,3,4,0,8,6,2,5,3,5
물가지수,2,0,0,2,1,0,0,3,0,1,2,1,2,3
미국,13,1,4,17,1,1,4,17,4,13,12,2,11,11
미니,1,2,1,2,5,2,4,0,4,3,0,3,1,1
미디어텍,2,0,1,0,0,1,0,2,0,3,4,1,4,2
미래,6,8,0,7,12,6,12,4,15,17,10,5,7,5
민간,0,0,1,0,0,0,1,0,0,0,0,0,2,1
밀도,3,0,0,0,0,14,0,0,0,1,5,9,0,3
바다마라톤,0,0,0,0,0,0,1,0,0,0,0,0,3,1
바이오,2,2,0,1,1,1,1,0,4,3,2,2,0,1
바이윈,0,1,1,1,0,2,0,2,0,1,3,1,3,1
박람회,0,0,0,2,0,0,1,1,0,1,1,0,0,1
반도체,4,5,2,6,5,4,11,8,13,13,19,3,3,6
반등에,1,0,1,2,0,0,0,2,0,2,0,0,2,2
밝기,2,2,0,1,1,3,2,0,3,4,0,4,0,1
밝혔다.,5,12,8,3,6,13,7,1,9,11,8,10,3,3
방범대,0,0,0,0,0,0,1,0,0,0,0,0,0,0
방법,0,5,4,0,2,1,2,0,3,3,1,2,2,0
방침,1,0,1,2,0,0,1,3,0,2,3,0,0,2
배터리,6,1,1,4,0,1,2,10,3,4,9,1,6,2
밸류체인,2,0,0,3,0,0,2,2,2,2,2,0,3,2
베스트,0,0,0,0,0,0,1,0,0,0,0,0,0,0
보는,3,1,1,0,0,1,0,0,1,3,1,0,2,2
보도자료,1,0,0,0,0,4,0,0,0,0,2,3,0,1
보안,0,0,0,0,0,0,1,1,0,1,1,0,1,0
보완,3,2,2,1,1,1,2,0,4,4,2,3,1,3
보이스피싱,2,1,2,2,1,1,0,4,0,1,2,0,2,2
보호,0,0,0,0,0,0,1,1,0,1,1,0,1,0
볼넷,0,0,0,0,0,0,1,0,0,0,0,0,1,0
부분,1,0,1,1,0,0,2,3,0,0,3,0,2,2
부사장,3,4,0,0,5,2,5,1,8,8,6,3,2,0
부스,8,6,14,3,0,0,2,3,5,8,1,0,2,1
부유세,1,0,1,2,0,0,0,2,0,0,0,0,3,3
부자,1,0,1,2,0,0,0,2,0,0,0,0,3,3
부품,5,3,3,4,0,4,9,6,9,12,15,2,7,2
북미,1,2,0,2,4,1,3,0,3,4,1,1,0,1
분야,0,1,0,0,0,0,1,0,2,3,4,0,0,0
분야에서,0,1,0,0,0,0,1,0,2,3,4,0,0,0
분양,0,0,0,2,0,0,1,1,0,1,1,0,0,1
브레이커스,4,32,28,6,11,7,13,1,14,20,5,7,10,3
비롯해,2,10,8,2,4,2,4,0,4,6,2,2,4,2
비엔엠컴퍼니,1,2,2,1,1,3,1,0,2,2,0,1,1,1
비율,1,0,1,2,0,0,1,3,0,2,3,0,0,2
비전옥스,3,6,0,3,6,3,9,3,15,7,10,3,0,3
빠르게,0,0,0,1,0,1,2,3,0,2,2,0,3,5
빠른,1,5,4,1,2,1,2,0,2,3,1,1,2,1
사업,11,11,3,12,16,11,16,8,19,22,11,6,11,10
사장,11,32,3,31,75,29,54,12,57,53,5,21,18,27
산업,15,18,8,16,22,13,20,13,23,35,16,10,18,13
산업용,3,1,1,2,0,2,3,4,3,4,5,0,3,2
산업통상자원부,1,2,0,0,3,1,3,0,4,4,3,1,1,0
삼성,0,3,0,2,3,2,8,1,3,5,7,1,5,2
삼성동,0,0,0,2,0,0,2,1,0,1,1,0,0,1
삼성디스플레,6,17,4,14,31,9,21,7,25,26,3,11,6,11
삼성디스플레이,10,46,26,24,48,20,42,7,44,48,9,20,20,17
삼성전자,5,7,2,2,4,4,6,0,9,7,2,6,3,5
삼성화재,1,0,1,1,0,0,1,1,0,0,1,0,1,2
삼진,0,0,0,0,0,0,1,0,0,0,0,0,1,0
삼현,2,2,2,2,0,2,6,2,6,8,10,2,4,0
상담,0,0,0,0,0,2,1,1,0,1,0,0,1,1
상반기,0,2,0,2,5,2,4,0,4,3,0,1,1,2
상승한,1,0,1,2,0,0,0,2,0,2,0,0,2,2
상승했다.,2,0,0,2,1,0,0,3,0,1,2,1,2,3
상품,0,0,0,1,0,1,2,3,0,2,2,0,3,5
새로운,2,0,1,1,0,5,1,1,0,1,3,3,1,3
색상으로,0,0,1,1,0,0,0,0,1,0,1,0,2,1
생산,3,4,2,6,4,3,7,4,9,9,5,2,3,6
생산라인,4,14,1,10,22,10,25,6,31,20,14,10,4,7
샤오미,0,1,0,0,0,0,0,0,2,1,0,0,0,0
서밋,0,0,1,0,0,0,1,0,0,0,0,0,2,1
서버,0,0,0,0,0,0,0,3,1,0,2,0,1,0
서비스,7,5,3,4,4,8,6,14,11,10,11,6,6,5
서장,0,0,0,0,0,0,1,2,0,0,2,0,1,0
석방됐다.,1,0,0,1,0,0,1,1,0,0,1,0,1,0
선보인다.,0,0,0,2,0,0,1,1,0,1,1,0,0,1
선수들,2,1,2,2,1,1,0,4,0,1,2,0,2,2
선호하,1,0,1,2,0,0,0,3,0,2,1,0,1,1
설계,2,0,1,0,0,1,0,2,0,3,4,1,4,2
설명했다.,0,0,0,0,0,0,1,5,1,0,4,0,2,0
성공적,0,0,1,0,0,0,1,0,0,0,0,0,2,1
성공했다.,1,0,1,2,0,0,0,2,0,2,0,0,2,2
성능,7,4,6,4,2,8,2,9,5,10,16,3,15,6
성분,1,0,0,0,0,10,0,0,0,2,3,6,0,2
성장세,0,2,0,3,4,2,5,0,3,4,0,3,1,1
성장할,2,2,0,1,1,3,2,0,3,4,0,4,0,1
세계,10,14,5,6,14,7,13,4,17,24,10,7,6,7
세금,1,0,1,2,0,0,0,2,0,0,0,0,3,3
세액공제,2,2,0,3,4,2,3,1,4,5,0,2,2,3
세율,1,0,1,2,0,0,0,2,0,0,0,0,3,3
세제,2,4,0,4,10,2,6,2,8,8,0,2,0,4
센서,1,1,1,1,0,1,3,1,3,4,5,1,2,0
셀트론,1,0,2,0,0,2,0,0,0,1,2,0,0,0
소득세,1,0,1,2,0,0,0,2,0,0,0,0,3,3
소비,1,0,1,2,0,0,0,2,0,2,0,0,2,2
속도감,1,5,4,1,2,1,2,0,2,3,1,1,2,1
솔루션,3,1,1,2,0,2,4,5,3,5,6,0,4,2
수명,2,2,0,1,1,3,2,0,3,4,0,4,0,1
수상했다.,1,2,0,0,3,1,3,0,4,4,3,1,1,0
수요,0,1,1,2,1,1,2,2,1,5,3,0,1,3
수준,0,0,0,0,0,0,1,1,0,1,1,0,1,0
수출,1,2,0,0,3,1,3,0,4,4,3,1,1,0
수치,1,0,1,2,0,0,0,2,0,2,0,0,2,2
순환,1,0,2,0,0,2,0,0,0,1,2,0,0,0
슈퍼리치,1,0,1,2,0,0,0,2,0,0,0,0,3,3
스냅드래곤,5,1,3,2,1,3,0,5,2,3,4,0,4,2
스마트워치,12,8,2,8,3,19,10,5,11,14,5,24,3,10
스마트폰,12,2,5,5,1,5,0,11,4,10,12,2,11,6
스타디움,1,2,2,1,1,3,1,0,2,2,0,1,1,1
스타트업,2,0,0,4,1,0,0,2,0,1,1,1,1,2
스타트업들,2,0,0,4,1,0,0,2,0,1,1,1,1,2
스타트업에,2,0,0,4,1,0,0,2,0,1,1,1,1,2
스트레처블,2,2,0,0,2,1,2,1,4,4,3,2,1,0
스티어링,0,1,0,0,0,1,0,0,1,1,1,0,1,1
시기,1,2,0,2,5,1,3,1,4,3,0,1,0,2
시대,2,0,1,0,0,1,0,2,0,3,4,1,4,2
시스템,3,2,1,2,0,3,4,5,4,6,7,0,5,3
시연,4,2,5,3,0,0,1,2,2,3,0,0,0,0
시장에,3,2,0,2,1,4,2,1,3,3,0,5,0,2
시장에서,2,0,0,4,1,0,0,2,0,1,1,1,1,2
시즌,0,0,0,0,1,0,3,1,0,0,2,0,3,0
신규,2,5,1,3,4,2,7,2,11,7,7,2,0,3
신시장,0,2,0,1,4,1,3,1,2,5,2,1,0,1
신아일보,0,0,0,0,0,2,1,1,0,1,0,0,1,1
신작,8,14,18,4,4,2,5,3,9,12,3,3,6,1
신작게임,1,5,4,1,2,1,2,0,2,3,1,1,2,1
신한투자증권,0,0,0,1,1,1,1,2,0,2,3,0,1,2
실적,5,12,1,11,26,13,19,5,17,21,6,5,9,13
쓰이,0,1,1,2,0,1,1,0,2,2,0,1,2,1
씨는,0,0,0,0,0,0,1,0,0,0,0,0,3,1
아니다.,0,0,0,0,1,0,2,1,0,0,2,0,2,0
