org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
수유점,0,1,0,0,0,3,0,1,0,1,1,0,0,0
수입,0,0,2,5,2,0,0,2,0,0,1,2,1,1
수주,2,0,2,2,5,0,2,3,1,1,1,0,1,0
수진,0,0,0,0,0,5,0,4,0,0,0,0,0,0
수출,3,1,10,1,4,4,7,5,4,2,3,1,1,1
수학적,4,1,2,1,0,1,1,2,1,0,1,0,0,0
수학적최적화,8,2,6,4,2,2,2,6,2,0,2,6,0,2
숙면,1,1,1,1,0,1,0,1,0,0,3,2,2,1
순간,0,0,0,0,0,0,0,1,0,0,0,0,1,1
슐럼버제,0,0,0,0,0,0,0,0,0,0,2,0,0,0
스냅드래곤,4,3,2,2,2,0,2,4,3,0,3,4,0,3
스마트워치,1,12,8,7,4,0,14,12,2,2,8,9,6,7
스마트폰,4,3,2,2,2,0,2,4,3,0,3,4,0,3
스테이블코인,2,1,2,2,1,0,1,2,2,0,1,2,2,1
스트레처블,1,1,5,0,2,2,3,2,0,1,2,3,0,0
스포츠,1,0,0,1,0,0,0,0,0,0,1,0,0,1
스포츠토토,0,0,0,0,0,0,0,0,0,0,2,1,1,1
스피커,0,0,2,0,1,2,1,2,0,5,1,3,1,2
시대,0,0,1,2,0,1,1,1,1,0,1,4,1,0
시리즈,1,1,3,2,1,0,1,1,0,1,1,3,0,2
시민,0,1,0,2,2,0,0,1,0,0,1,1,0,0
시사캐스트,0,0,3,0,2,1,1,2,0,5,2,3,1,2
시속,1,0,2,1,1,3,2,2,0,0,2,4,1,1
시스템,3,4,5,3,3,6,1,7,3,0,6,11,4,4
시어터,0,1,1,0,0,2,0,1,0,0,1,5,1,2
시장에,0,3,2,2,2,0,3,3,0,1,1,3,2,2
시장에서,1,0,1,3,1,0,2,1,3,0,1,1,1,0
신규,2,0,2,5,10,0,2,4,0,2,2,0,0,0
신승원,0,1,0,0,0,0,0,0,1,0,1,0,0,0
신작,1,0,5,0,3,1,2,4,1,7,3,3,3,6
신작게임,0,0,12,0,6,4,4,8,0,20,6,12,4,8
신주,0,1,0,0,2,0,1,0,0,1,1,3,1,0
신형,1,0,2,1,1,3,2,2,0,0,2,4,1,1
실시간,0,0,0,2,1,0,0,0,0,0,2,1,0,2
실시한다.,1,0,0,1,0,0,0,0,2,0,1,1,2,0
실적,2,2,8,3,3,2,2,3,0,3,3,7,0,4
실험,2,0,2,0,2,0,1,2,1,0,2,1,1,0
심은,0,0,0,0,0,0,0,0,0,0,5,1,1,0
싱글,0,0,0,0,0,0,0,1,0,0,0,0,1,1
쓱닷컴,0,0,0,0,0,0,0,0,1,0,1,0,3,1
아나운서,1,0,0,1,0,0,0,0,0,0,1,0,0,1
아니라,1,1,2,0,0,0,1,3,1,0,2,2,1,2
아들,0,0,0,1,0,0,0,0,0,0,1,1,0,0
아리랑,1,0,0,1,1,0,0,0,0,0,1,2,1,0
아산,0,2,2,0,0,0,0,1,0,0,1,1,4,0
아산탕정,0,2,2,0,0,0,0,1,0,0,1,1,4,0
아산탕정지구,0,2,2,0,0,0,0,1,0,0,1,1,4,0
아양,0,0,0,1,0,0,0,0,0,0,1,0,3,0
아이들,0,0,0,1,0,0,0,0,0,0,1,1,0,0
아이브,0,0,0,0,0,1,0,1,0,0,0,0,0,0
아이폰,2,2,4,5,2,1,1,3,0,1,2,5,1,5
아인혼,0,1,0,3,0,0,1,0,1,0,1,0,1,1
아직,0,6,4,4,0,0,7,6,1,0,6,4,2,4
아티스트,1,1,2,0,0,0,1,3,1,0,2,2,1,2
안랩,4,2,5,3,3,4,4,3,4,5,3,5,1,2
안성,0,0,0,1,0,0,0,0,0,0,1,0,3,0
안정적인,1,0,1,1,1,0,0,1,2,0,0,0,0,0
않고,0,0,0,0,0,0,0,0,1,0,2,2,1,0
