org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
퀄컴,8.60 (1%),13.32 (1%),2.90 (0%),8.36 (2%),4.20 (0%),9.11 (1%),2.83 (0%),,8.60 (1%),
폭스바겐,2.87 (0%),4.20 (0%),0.72 (0%),2.28 (0%),,3.50 (1%),0.71 (0%),,3.58 (0%),1.04 (0%)
하이센스,12.18 (1%),19.62 (1%),26.10 (2%),,38.54 (3%),11.91 (2%),17.72 (2%),4.06 (1%),12.90 (1%),
한미반도체,5.02 (1%),9.81 (1%),3.62 (0%),3.80 (1%),2.10 (0%),0.70 (0%),2.13 (0%),,5.02 (1%),
한화,12.90 (1%),22.43 (2%),,15.20 (3%),,11.91 (2%),10.63 (1%),6.77 (2%),15.05 (2%),62.49 (28%)
한화솔루션,2.87 (0%),6.31 (0%),2.17 (0%),3.04 (1%),2.10 (0%),2.80 (0%),,,3.58 (0%),1.04 (0%)
한화시스템,5.02 (1%),14.02 (1%),,9.12 (2%),,6.31 (1%),,5.41 (1%),6.45 (1%),57.28 (25%)
현대모비스,4.30 (0%),10.51 (1%),2.90 (0%),4.56 (1%),4.20 (0%),6.31 (1%),2.83 (0%),,5.73 (1%),
현대자동차,10.03 (1%),24.53 (2%),9.42 (1%),10.64 (2%),11.91 (1%),11.21 (2%),8.50 (1%),,16.48 (2%),
현대차,30.81 (3%),42.93 (3%),15.58 (1%),20.42 (4%),18.08 (1%),20.34 (3%),,11.63 (3%),27.73 (3%),
화웨이,1.43 (0%),2.10 (0%),5.80 (1%),,7.71 (1%),1.40 (0%),8.50 (1%),,1.43 (0%),
