org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
비보,,3.62 (0%),,7.01 (0%),7.24 (1%),16.29 (1%),5.67 (1%),18.10 (2%),14.16 (1%),1.43 (0%)
삼성디스플레이,,,45.39 (5%),88.27 (6%),49.23 (7%),83.57 (7%),48.16 (6%),49.23 (7%),61.61 (5%),35.80 (4%)
삼성전자,,119.83 (12%),125.77 (12%),224.90 (12%),,184.72 (11%),137.65 (14%),105.30 (11%),201.59 (13%),114.92 (12%)
샤오미,,12.57 (1%),,29.54 (2%),19.75 (2%),50.93 (3%),16.68 (2%),44.88 (5%),52.69 (3%),15.98 (2%)
샤오펑,,1.45 (0%),3.66 (0%),6.31 (0%),1.45 (0%),4.25 (0%),,1.45 (0%),5.67 (0%),5.73 (1%)
샤프,,3.62 (0%),,4.90 (0%),5.79 (1%),17.00 (1%),2.12 (0%),7.96 (1%),5.67 (0%),1.43 (0%)
선익시스템,,2.17 (0%),3.66 (0%),7.01 (0%),2.90 (0%),2.83 (0%),,2.17 (0%),2.12 (0%),1.43 (0%)
소니,,8.69 (1%),5.12 (1%),8.41 (1%),4.34 (1%),11.33 (1%),,5.79 (1%),7.79 (1%),5.73 (1%)
아마존,,9.41 (1%),4.39 (1%),7.71 (1%),,5.67 (0%),5.67 (1%),2.90 (0%),9.21 (1%),7.88 (1%)
아이씨디,,2.17 (0%),3.66 (0%),7.01 (0%),2.90 (0%),2.83 (0%),,2.17 (0%),2.12 (0%),1.43 (0%)
알파벳,,4.34 (1%),5.86 (1%),7.71 (1%),,7.08 (1%),6.37 (1%),5.79 (1%),7.79 (1%),9.31 (1%)
애플,,73.12 (9%),,107.19 (7%),59.36 (9%),116.85 (9%),80.73 (11%),86.15 (11%),131.01 (11%),59.42 (7%)
엔비디아,,20.99 (3%),18.30 (2%),28.72 (2%),,14.87 (1%),19.83 (3%),9.41 (1%),24.79 (2%),21.48 (3%)
오포,1.04 (1%),4.34 (1%),,9.11 (1%),10.13 (1%),20.54 (2%),7.08 (1%),25.34 (3%),19.12 (2%),
원익IPS,,4.34 (1%),9.52 (1%),18.22 (1%),8.69 (1%),7.79 (1%),5.67 (1%),,5.67 (0%),7.16 (1%)
인텔,,6.52 (1%),12.45 (1%),20.32 (1%),6.52 (1%),9.21 (1%),7.08 (1%),,6.37 (1%),7.88 (1%)
카카오,,3.62 (0%),4.39 (1%),8.41 (1%),1.45 (0%),1.42 (0%),2.12 (0%),,2.83 (0%),2.15 (0%)
퀄컴,,37.22 (4%),26.52 (3%),39.30 (2%),11.84 (1%),18.21 (1%),19.86 (2%),,33.93 (2%),26.77 (3%)
폭스바겐,,0.72 (0%),2.20 (0%),2.10 (0%),,0.71 (0%),0.71 (0%),,2.12 (0%),2.15 (0%)
하이센스,,10.13 (1%),10.98 (1%),18.92 (1%),13.03 (2%),37.53 (3%),,14.48 (2%),24.08 (2%),11.46 (1%)
한미반도체,,10.43 (1%),16.87 (1%),31.29 (1%),9.39 (1%),10.20 (1%),9.18 (1%),,10.20 (1%),13.41 (1%)
한화,,3.62 (0%),6.59 (1%),9.81 (1%),2.90 (0%),2.83 (0%),4.96 (1%),,5.67 (0%),5.01 (1%)
한화시스템,1.04 (1%),2.90 (0%),2.93 (0%),6.31 (0%),0.72 (0%),,1.42 (0%),,2.12 (0%),0.72 (0%)
현대모비스,,14.96 (2%),12.74 (1%),19.82 (1%),3.15 (0%),4.62 (0%),4.62 (1%),,6.93 (1%),7.01 (1%)
현대자동차,4.17 (2%),13.75 (2%),8.78 (1%),9.11 (1%),,6.37 (0%),8.50 (1%),,9.91 (1%),12.17 (2%)
현대차,,22.39 (3%),22.64 (3%),36.84 (2%),10.45 (1%),15.33 (1%),13.87 (2%),,19.71 (2%),28.79 (4%)
화웨이,,5.79 (1%),,11.91 (1%),6.52 (1%),12.04 (1%),7.08 (1%),7.24 (1%),12.04 (1%),6.44 (1%)
