org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
코인,2,2,0,2,3,2,3,2
콘퍼런스,1,2,4,0,1,2,1,2
쿠페형,5,0,2,0,1,1,0,1
클라우드,0,2,2,5,3,2,1,2
클래스,0,1,0,4,4,0,1,1
태블릿,10,1,2,0,2,2,0,3
통해,2,8,9,6,8,6,4,7
투자,2,2,0,2,3,2,3,2
트래블카드,3,0,2,0,2,2,0,1
특히,3,6,3,2,6,2,3,4
파주경제자유구역,1,2,4,0,1,2,1,2
패브릭스,0,2,2,5,3,2,1,2
페스타,1,4,1,1,3,2,2,2
편도욱,5,1,1,0,1,2,0,2
편의,5,0,2,0,1,1,0,1
평균,1,3,3,2,5,2,4,2
폐열회수,2,1,1,0,1,2,0,5
포터블,5,1,1,0,1,2,0,2
포항,4,16,6,4,13,6,8,9
포항시,2,8,4,2,7,4,4,5
풀스택,0,2,2,5,3,2,1,2
프로그램,0,1,1,1,3,1,1,1
프로젝트,1,2,2,5,2,4,1,2
플랫폼,3,0,2,0,2,2,0,1
피해,1,6,3,3,8,6,8,5
학부모,0,1,0,4,4,0,1,1
학습,0,1,0,4,4,0,1,1
한중일,0,2,1,1,3,2,3,2
한화이센셜,1,1,3,0,1,1,1,3
핵심,1,1,3,0,2,3,1,1
향후,2,2,0,2,3,2,3,2
혁신,0,2,2,5,3,2,1,2
현장,1,1,3,0,1,1,1,3
현재,5,1,1,0,1,2,0,2
협력,0,2,1,1,3,2,3,2
화려한,2,0,3,0,2,1,1,0
확대,0,2,1,1,3,2,3,2
확산,1,2,2,5,2,4,1,2
활용한,0,1,0,4,4,0,1,1
황정욱,1,1,3,0,1,1,1,3
흐름,2,2,0,2,3,2,3,2
