org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
기준대비,1,3,1,3,1,2,2,1,1
김종호,2,1,1,0,1,4,1,1,3
까르마,1,5,3,4,1,4,3,0,0
나갈,3,1,2,0,4,2,1,2,1
나노소재,2,1,2,1,5,2,2,1,0
논의,0,1,1,1,0,3,1,2,4
농식품,4,3,3,0,1,3,2,5,1
다양한,15,5,6,3,2,6,1,4,1
단기,1,0,1,1,2,2,1,2,5
대비,4,3,4,0,2,2,2,1,2
대상으로,2,1,1,0,1,4,1,1,3
대주주,3,3,2,2,1,1,1,2,2
대통령,6,9,4,3,4,12,8,8,14
대표,5,11,4,5,4,14,10,6,8
대표이사,1,1,0,0,1,2,1,1,2
대한,3,1,2,1,3,6,2,3,8
대형,2,1,0,0,1,3,1,2,2
도로,1,0,1,5,1,1,1,0,0
두산퓨얼셀,4,3,4,0,2,2,2,1,2
디스플레,7,3,4,2,6,3,2,2,0
로봇,5,2,2,0,1,3,1,2,1
로씨에너지,5,1,2,2,0,2,0,1,0
로이슈,1,3,1,3,1,2,2,1,1
리플,1,3,1,3,1,2,2,1,1
마크롱,1,0,0,0,0,3,1,1,3
말했다.,4,6,1,0,6,9,6,5,7
메타버스,12,7,9,0,3,9,6,15,3
모빌리티,2,1,0,0,3,4,1,2,2
문화산업,8,4,6,0,2,6,4,10,2
미국,0,1,1,1,0,3,1,2,4
미디어,1,1,1,1,1,1,0,1,2
미디어파사드,1,1,1,1,1,1,0,1,2
민생회복,1,5,3,4,1,4,3,0,0
믿음,0,0,0,2,1,1,1,2,2
바란다,1,0,0,0,0,3,1,1,3
발행,3,3,2,2,1,1,1,2,2
밝혔다.,1,1,1,1,1,1,0,1,2
범한퓨얼셀,4,3,4,0,2,2,2,1,2
변동성,1,0,1,1,2,2,1,2,5
보관금액,1,0,1,1,2,2,1,2,5
보조,1,5,4,2,1,2,1,0,1
복지,1,1,0,0,1,2,1,1,2
복합개발,3,1,2,0,4,2,1,2,1
볼륨감,1,0,1,5,1,1,1,0,0
부문,4,3,4,0,2,2,2,1,2
부사장,2,1,0,0,3,4,1,2,2
부와,2,1,0,1,0,5,2,3,3
부품,4,3,4,0,2,2,2,1,2
분야,12,4,5,2,2,9,2,4,4
불평등,2,1,0,1,0,5,2,3,3
비즈트리뷴,2,1,0,0,3,4,1,2,2
비트코인,1,3,1,3,1,2,2,1,1
빛의,1,1,1,1,1,1,0,1,2
사랑하,0,0,0,2,1,1,1,2,2
사설,3,3,2,2,1,1,1,2,2
사업자,2,1,0,0,1,3,1,2,2
사업장,2,1,0,0,1,3,1,2,2
사장,1,2,0,0,1,5,1,2,2
사진,1,5,3,4,1,4,3,0,0
산업,8,4,4,4,1,3,1,3,2
산업단지,15,5,6,3,2,6,1,4,1
삼사라,0,0,0,2,1,1,1,2,2
삼성SDS,1,2,0,0,1,5,1,2,2
삼성디스플레이,2,1,0,0,3,4,1,2,2
상승,1,0,1,1,2,2,1,2,5
새로운,2,1,0,0,3,4,1,2,2
생활지원로봇,5,2,2,0,1,3,1,2,1
서비스,1,2,0,0,1,5,1,2,2
설명회,3,1,2,0,4,2,1,2,1
설화,0,0,0,2,1,1,1,2,2
성과,2,1,2,1,5,2,2,1,0
소비쿠폰,1,5,3,4,1,4,3,0,0
소수,2,1,0,1,0,5,2,3,3
소액결제,2,5,1,0,3,5,5,3,5
솔루션,13,6,4,3,5,12,2,6,4
솔루션으로,5,2,2,1,1,1,0,1,0
수소,4,3,4,0,2,2,2,1,2
수준,2,1,0,0,1,3,1,2,2
수출박람회,5,2,2,0,1,3,1,2,1
스크린,1,3,1,3,1,2,2,1,1
스타트업,10,4,4,1,2,4,1,3,1
시는,3,1,2,0,4,2,1,2,1
시스템,11,8,8,5,2,5,1,2,1
신사업,1,1,0,0,1,2,1,1,2
신축성,2,1,2,1,5,2,2,1,0
실내,1,0,1,5,1,1,1,0,0
심화,2,1,0,1,0,5,2,3,3
씨라이언,3,10,8,11,3,7,5,0,1
아들,0,0,0,2,1,1,1,2,2
아르비젼,5,2,2,1,1,1,0,1,0
아트,1,1,1,1,1,1,0,1,2
아트테크,8,5,6,0,2,6,4,10,2
안락함,1,0,1,5,1,1,1,0,0
안전,1,5,4,2,1,2,1,0,1
안전관리,2,1,0,0,1,3,1,2,2
안전성,2,1,0,0,3,4,1,2,2
알면서도,0,0,0,2,1,1,1,2,2
암호화폐,1,3,1,3,1,2,2,1,1
양국,1,0,0,0,0,3,1,1,3
양도세,3,3,2,2,1,1,1,2,2
업무,1,2,0,0,1,5,1,2,2
없는,2,1,0,1,0,5,2,3,3
에너지,5,1,2,2,0,2,0,1,0
에이전트,1,2,0,0,1,5,1,2,2
엔비디아,1,0,1,1,2,2,1,2,5
엔스퀘어,5,2,2,0,1,3,1,2,1
여인,0,0,0,2,1,1,1,2,2
연구,2,1,2,1,5,2,2,1,0
연구성과,2,1,2,1,5,2,2,1,0
연료전지,4,3,4,0,2,2,2,1,2
영상,8,4,6,0,2,7,4,13,3
영상제,12,7,9,0,3,9,6,15,3
영화,0,0,0,2,1,1,1,2,2
오는,4,3,3,0,1,3,2,5,1
오늘,1,0,1,1,2,2,1,2,5
오후,8,4,6,0,2,6,4,10,2
올해,2,5,1,0,3,5,5,3,5
울산시,1,1,1,1,1,1,0,1,2
울산시에,1,1,1,1,1,1,0,1,2
워크숍,2,1,2,1,5,2,2,1,0
원숭,0,0,0,2,1,1,1,2,2
원을,1,5,3,4,1,4,3,0,0
위한,4,3,2,0,5,7,2,4,3
위해,7,5,3,2,3,8,3,5,7
유지,3,3,2,2,1,1,1,2,2
유치,3,1,2,0,4,2,1,2,1
으뜸기업,1,1,0,0,1,2,1,1,2
의료,3,1,2,0,4,2,1,2,1
이더리움,1,3,1,3,1,2,2,1,1
이더리움클래식,1,3,1,3,1,2,2,1,1
이를,3,1,2,0,4,2,1,2,1
이마트,1,6,1,6,2,3,3,1,1
이미지,5,2,2,3,2,2,1,3,2
이번,25,14,15,8,10,18,9,17,7
이사장,2,1,1,0,1,4,1,1,3
이재명,2,5,1,0,3,5,5,3,5
이재빈,1,1,0,0,1,2,1,1,2
이틀간,4,2,3,0,1,3,2,5,1
인공지능,2,1,1,0,1,4,1,1,3
인도,1,5,4,2,1,2,1,0,1
인도네시아,0,0,0,2,1,1,1,2,2
인력,1,1,0,0,1,2,1,1,2
인재,1,1,0,0,1,2,1,1,2
인프라,1,2,0,0,1,5,1,2,2
인하,1,0,1,1,2,2,1,2,5
입장,0,1,1,1,0,3,1,2,4
있는,9,5,7,1,3,7,4,11,4
있다,5,4,0,1,4,14,4,7,7
있다.,11,10,9,2,12,12,9,9,15
자금,2,1,1,0,1,4,1,1,3
자동화,10,4,4,1,2,4,1,3,1
장비,4,3,4,0,2,2,2,1,2
장생포,1,1,1,1,1,1,0,1,2
저장시설,2,1,0,0,1,3,1,2,2
적극,2,1,1,0,1,4,1,1,3
전광판,1,1,1,1,1,1,0,1,2
전국,1,5,4,2,1,2,1,0,1
전기,1,0,1,5,1,1,1,0,0
전기차,1,0,1,5,1,1,1,0,0
전략,3,3,1,0,2,9,2,3,5
전자종,5,2,2,1,1,1,0,1,0
전재,0,3,0,3,1,1,1,0,0
절차,0,1,1,1,0,3,1,2,4
정부,4,6,2,0,4,9,6,4,8
정책,3,3,2,2,1,1,1,2,2
제1회,5,2,2,0,1,3,1,2,1
제품,4,3,4,0,2,2,2,1,2
주도하고,1,1,1,1,1,1,0,1,2
주인공,0,0,0,2,1,1,1,2,2
주행,2,5,5,7,2,3,2,0,1
중형,1,5,4,2,1,2,1,0,1
증가,1,0,1,1,2,2,1,2,5
지원,5,2,3,0,5,6,2,3,4
지정,3,1,2,0,4,2,1,2,1
질감,1,0,1,5,1,1,1,0,0
차량,1,5,4,2,1,2,1,0,1
차량용,2,1,0,0,3,4,1,2,2
차세대,2,1,2,1,5,2,2,1,0
참여해,5,2,2,0,1,3,1,2,1
채용,1,1,0,0,1,2,1,1,2
천지일보,1,1,0,0,1,2,1,1,2
첨단,8,4,6,0,2,6,4,10,2
청년,1,1,0,0,1,2,1,1,2
최신,2,1,0,0,1,3,1,2,2
충전,2,5,5,7,2,3,2,0,1
친환경,4,3,4,0,2,2,2,1,2
코스피,2,5,1,0,3,5,5,3,5
콘퍼런스,3,1,2,0,4,2,1,2,1
쿠페형,1,0,1,5,1,1,1,0,0
태블릿,1,6,1,6,2,3,3,1,1
토비,2,1,0,1,0,5,2,3,3
통해,5,2,3,0,5,6,2,3,4
트래블카드,1,5,3,4,1,4,3,0,0
트랜스포메이션,1,2,0,0,1,5,1,2,2
특히,6,3,3,0,4,7,3,7,3
파주경제자유구역,3,1,2,0,4,2,1,2,1
편도욱,1,3,1,3,1,2,2,1,1
편의,1,0,1,5,1,1,1,0,0
평균,2,5,1,0,3,5,5,3,5
폐열회수,5,1,2,2,0,2,0,1,0
포터블,1,3,1,3,1,2,2,1,1
포항,12,7,9,0,3,9,6,15,3
포항시,4,3,3,0,1,3,2,5,1
풀스택,1,2,0,0,1,5,1,2,2
플랫폼,1,5,3,4,1,4,3,0,0
피해,2,5,1,0,3,5,5,3,5
한국,0,1,1,1,0,3,1,2,4
한중일,3,3,2,2,1,1,1,2,2
한화이센셜,1,1,0,0,1,2,1,1,2
핵심,2,1,2,1,5,2,2,1,0
했다.,1,0,0,0,0,3,1,1,3
향상,2,1,0,0,1,3,1,2,2
혁신,1,2,0,0,1,5,1,2,2
현안,0,1,1,1,0,3,1,2,4
현장,1,1,0,0,1,2,1,1,2
현재,1,3,1,3,1,2,2,1,1
협력,4,3,2,2,1,4,2,3,5
화려한,1,1,1,1,1,1,0,1,2
화면,0,0,0,2,1,1,1,2,2
확대,3,3,2,2,1,1,1,2,2
확산,2,1,0,1,0,5,2,3,3
환율,1,0,1,1,2,2,1,2,5
황정욱,1,1,0,0,1,2,1,1,2
흑백,0,0,0,2,1,1,1,2,2
