org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
시그마인텔,0,1,0,1,0,0,3,4,0,4,2
시는,1,0,0,0,1,0,1,1,0,2,0
시대,0,1,1,3,0,0,1,1,0,2,0
시대에,0,1,0,0,0,0,1,1,1,4,1
시도해,0,0,1,0,0,0,2,0,0,0,0
시리즈,0,3,1,3,1,1,2,2,0,2,1
시민,1,0,0,0,1,0,1,1,0,2,0
시스템,0,0,3,0,2,2,3,2,0,2,5
시절,0,1,1,3,0,0,1,1,0,2,0
시점,5,2,1,1,0,0,0,0,0,0,0
시청률,15,6,3,3,0,0,4,0,0,2,0
신규,0,1,0,3,0,0,2,1,0,1,0
신도시평생학습관,1,2,0,0,0,0,2,0,0,1,0
신동빈,0,2,0,2,0,0,2,1,0,2,2
신용,0,1,0,0,0,0,0,0,0,0,0
신작,0,1,0,2,0,0,1,2,0,3,0
신제품,0,3,1,3,1,1,2,2,0,2,1
신청,1,3,0,0,0,0,3,1,0,1,0
신한은행,0,1,0,0,0,0,0,0,0,0,0
신한카드,0,1,0,0,0,0,0,0,0,0,0
실적,0,1,1,2,2,1,1,4,0,3,3
씨는,1,0,0,0,0,0,2,0,0,0,0
아버지,1,0,0,1,0,0,2,1,0,0,1
아산캠퍼스,0,2,0,2,0,0,2,1,0,2,2
아우디,1,1,1,0,2,1,2,1,1,3,1
아이콘,0,0,39,0,17,40,0,0,0,16,16
아프리카돼지열병,0,1,0,0,0,0,1,0,0,1,0
애정,1,0,0,1,0,0,2,1,0,0,1
애플,0,1,0,2,0,0,1,2,0,3,0
앰비언트,1,2,1,0,0,0,2,1,0,1,2
약정,1,2,0,1,0,0,0,1,0,2,0
양산,0,2,0,1,0,0,1,1,0,2,1
어머니,1,0,0,1,0,0,2,1,0,0,1
어머니에,1,0,0,1,0,0,2,1,0,0,1
어워드,0,2,49,0,24,46,0,0,0,19,21
얼라이언스,0,0,1,0,0,0,2,0,0,3,0
업그레이드,0,0,0,0,0,0,1,1,0,2,1
업데이트,0,0,0,0,0,0,1,1,0,2,1
업무,0,1,0,0,0,0,1,1,0,1,0
업종별,0,0,1,0,0,0,2,0,0,3,0
업황,0,0,0,1,0,0,1,0,0,2,0
에너지,0,2,7,0,10,3,0,0,0,4,3
에디션,1,1,1,0,2,1,2,1,1,3,1
에서,0,0,5,0,4,4,6,4,0,4,10
에어컨,0,2,8,0,10,4,0,0,0,4,4
여자,4,2,1,1,0,0,0,0,0,0,0
역량,0,1,3,0,2,2,2,0,0,3,2
연구,0,1,3,0,2,2,2,0,0,3,2
연기,1,4,2,2,1,0,1,1,0,0,0
연애,5,1,0,0,0,0,1,0,0,0,0
연합뉴스,0,1,0,0,0,0,1,0,0,1,0
열린,0,3,0,2,0,0,3,2,1,6,3
영농,0,1,0,0,0,0,0,1,0,0,0
영상,1,3,0,2,0,0,0,1,0,2,0
영업이익,0,1,1,2,2,1,1,4,0,3,3
영화,1,5,2,3,1,0,3,2,0,0,0
옆커폰,1,2,0,1,0,0,0,1,0,2,0
예능,25,9,4,4,0,0,5,0,0,2,0
오는,1,2,0,0,0,0,2,0,0,1,0
오늘,0,0,1,0,0,0,2,0,0,0,0
오성전자,0,0,1,1,0,0,1,1,0,0,0
온수,0,1,3,0,5,1,0,0,0,2,1
온수기,0,3,17,0,20,9,0,0,0,8,9
올레드,0,2,0,2,0,0,2,1,0,2,2
올해,0,2,1,2,0,0,1,2,0,3,0
요금제,1,2,0,1,0,0,0,1,0,2,0
우선,0,1,0,0,0,0,0,0,0,0,0
운영체제,0,0,0,0,0,0,1,1,0,2,1
울트라,0,0,0,0,0,0,1,1,0,2,1
