org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
오포,,44.72 (0%),22.00 (0%),24.05 (0%),16.17 (0%),19.02 (0%),43.67 (1%),55.91 (0%),,18.47 (0%)
원익IPS,,88.05 (1%),11.00 (0%),11.66 (0%),,23.25 (0%),27.03 (0%),43.33 (0%),13.61 (0%),8.53 (0%)
인텔,,391.00 (2%),177.09 (2%),213.55 (2%),,163.74 (2%),257.53 (2%),334.11 (2%),114.53 (1%),131.45 (2%)
카카오,49.67 (1%),89.45 (1%),57.76 (1%),,29.40 (1%),40.87 (1%),56.14 (1%),51.01 (0%),28.66 (1%),
퀄컴,,178.87 (1%),96.15 (1%),97.35 (1%),64.24 (1%),,134.15 (1%),120.41 (1%),68.88 (1%),95.80 (1%)
텐센트,,6.29 (0%),2.75 (0%),5.10 (0%),,1.41 (0%),3.47 (0%),4.19 (0%),1.43 (0%),1.42 (0%)
폭스바겐,19.28 (0%),50.31 (0%),38.50 (1%),,13.23 (0%),23.96 (0%),36.04 (0%),25.86 (0%),,24.87 (0%)
하이센스,188.30 (4%),150.24 (1%),,129.70 (2%),112.45 (2%),,133.78 (2%),262.05 (2%),164.06 (3%),91.65 (2%)
하이얼,25.21 (1%),30.05 (0%),17.88 (0%),27.69 (0%),,,22.87 (0%),40.53 (0%),21.49 (0%),15.63 (0%)
한미반도체,,123.62 (1%),29.01 (0%),26.77 (0%),,36.43 (0%),35.84 (0%),54.20 (0%),36.07 (1%),32.87 (0%)
한화,,50.31 (0%),39.19 (1%),41.53 (1%),,23.96 (0%),35.35 (0%),51.01 (0%),15.04 (0%),22.73 (0%)
한화솔루션,,11.18 (0%),3.44 (0%),5.83 (0%),,4.93 (0%),4.85 (0%),12.58 (0%),,2.84 (0%)
한화시스템,,51.71 (0%),16.50 (0%),,7.35 (0%),11.27 (0%),18.02 (0%),13.98 (0%),10.75 (0%),13.50 (0%)
현대모비스,68.27 (1%),256.00 (1%),86.71 (1%),84.60 (1%),,63.47 (1%),116.55 (1%),93.73 (0%),,75.37 (1%)
현대자동차,,83.86 (1%),61.19 (1%),,29.40 (1%),32.41 (1%),48.52 (1%),40.53 (0%),26.51 (1%),37.65 (1%)
현대차,,302.19 (2%),191.54 (3%),119.75 (1%),85.67 (2%),108.41 (2%),214.10 (2%),141.73 (1%),,161.48 (2%)
화웨이,,73.38 (1%),48.82 (1%),53.92 (1%),27.19 (1%),31.71 (1%),57.53 (1%),91.54 (1%),,48.31 (1%)
