org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
SK하이닉스,0,0,3,0,1,1,0,0,0
SWAN,1,0,3,0,1,0,1,0,1
TIGER,0,1,4,0,2,0,4,0,0
TSMC,0,0,2,0,0,1,0,1,0
UI,0,0,0,0,0,0,0,3,0
var,1,1,2,0,1,1,1,0,1
Web,1,1,2,0,1,1,1,0,1
XX,0,0,1,0,0,0,0,1,0
가격,0,16,14,0,17,3,0,4,0
가능,0,0,2,0,1,0,0,0,0
가능성,0,0,0,0,0,0,0,1,0
가능한,1,1,0,0,0,0,1,1,1
가방,2,0,1,0,0,1,1,2,1
가진,0,0,1,1,0,2,0,1,0
각각,2,2,8,0,6,2,9,1,1
각각각,0,2,4,0,3,1,4,0,0
각종,0,0,1,0,0,0,0,2,0
감각,0,0,0,0,0,0,0,1,0
감성,1,1,0,0,0,0,1,1,1
강사,0,0,0,7,0,3,0,1,0
강의,0,1,0,15,1,6,0,3,0
강조했다.,0,3,4,0,2,1,0,0,0
개발,3,2,8,0,5,2,9,2,1
개통,0,1,2,0,2,3,0,1,0
갤럭시,9,9,4,0,7,7,6,2,6
거래,0,1,4,0,2,0,4,0,0
거래일,0,2,6,0,3,2,8,2,0
건강,0,1,0,8,1,3,0,2,0
검사장비,1,2,4,0,2,1,4,1,0
것으로,3,12,16,0,15,2,6,5,1
것이,0,1,0,1,1,1,0,4,0
것이다.,2,0,3,1,0,2,2,3,1
게이밍,1,2,1,0,1,2,2,1,1
게임,0,0,1,1,0,3,0,0,0
결혼,0,1,2,2,1,5,0,0,0
경동나비엔,15,6,6,0,3,0,3,3,11
경륜경정총괄본부,0,0,1,0,0,0,0,2,0
경북,1,1,2,0,1,1,1,0,1
경쟁률,0,0,3,0,1,1,0,0,0
경직된,0,5,2,0,4,3,0,1,0
경험,3,3,1,0,2,1,2,0,2
계약학,0,0,3,0,1,1,0,0,0
고개,0,0,1,1,0,0,1,2,0
고객,2,5,5,0,6,4,3,1,3
고독,0,0,0,0,0,2,0,1,0
고려대,0,0,3,0,1,1,0,0,0
고유무기,0,0,0,0,1,2,1,1,0
고현정,0,0,0,0,0,1,0,1,0
고혈압,0,1,1,1,1,2,0,0,0
곳에서,0,0,2,1,0,1,1,1,0
공개된다.,0,0,0,3,0,2,0,1,0
공정,1,5,9,0,7,1,4,1,0
공주경찰서,0,0,0,0,0,2,0,2,0
공주교육지원청,0,0,0,0,0,2,0,2,0
공주시,0,0,0,0,0,2,0,2,0
공주중학교,0,0,0,0,0,2,0,2,0
관세,0,4,1,0,4,0,0,1,0
관해,0,1,0,4,1,2,0,1,0
광고,0,0,1,1,0,2,0,2,0
광학,0,1,0,0,0,2,0,0,0
교사,0,0,1,1,0,2,0,1,0
교사들,0,0,1,1,0,2,0,1,0
교수,0,0,1,0,0,0,0,0,0
교원,0,0,1,1,0,2,0,1,0
교육,1,2,1,0,1,2,2,1,1
교인들,0,0,1,2,0,2,0,1,0
교통안전,0,0,0,0,0,2,0,2,0
교회,0,0,1,2,0,2,0,1,0
구름,0,0,0,1,0,5,0,2,0
구조,2,3,2,0,4,0,2,2,1
국가핵심기술,1,0,3,0,2,0,0,1,0
국제뉴스,0,0,1,0,0,0,0,0,0
권위,8,4,8,0,4,0,4,0,20
귀인,0,0,2,1,0,1,1,1,0
그냥,0,0,1,0,0,0,0,1,0
그녀,0,0,0,3,0,2,0,1,0
그는,0,1,0,0,1,0,0,0,0
그래서,0,0,1,2,0,2,0,1,0
그러나,0,0,2,1,0,1,1,1,0
그러면,0,0,1,2,0,2,0,1,0
그런,0,0,1,2,0,2,0,1,0
그룹장,0,3,4,0,2,1,0,0,0
그리고,0,0,0,0,0,2,0,1,0
그의,0,1,0,0,1,5,0,1,0
극의,0,0,0,0,0,1,0,1,0
근데,0,0,1,2,0,2,0,1,0
근절,0,0,1,0,0,0,0,2,0
금지,0,1,1,1,1,2,0,0,0
기간,2,0,6,0,3,0,1,1,1
기기,0,0,2,0,0,1,4,2,0
기능,7,6,7,0,5,6,3,2,4
기반,1,2,1,0,1,2,2,1,1
기업들,0,3,2,0,3,1,1,0,0
기자,2,2,4,4,2,2,1,3,5
기존,2,1,2,0,1,0,1,0,5
기준,1,2,1,0,1,2,2,1,1
기지국,0,3,4,0,4,3,2,1,0
기탁,0,0,0,0,0,1,0,0,0
기회,0,1,1,1,1,2,0,0,0
긴장감,0,0,0,0,0,1,0,1,0
김동아,1,0,3,0,2,0,0,1,0
김영일,2,1,2,0,1,0,1,0,5
김우진,0,0,2,0,1,0,0,0,0
김종국,0,1,3,2,1,5,0,2,0
김종국에게,0,1,1,1,1,2,0,0,0
꼽힌다.,2,1,2,0,1,0,1,0,5
나눔,0,0,0,0,0,1,0,0,0
나비엔,9,4,4,0,2,0,2,2,6
남금주,0,1,0,4,1,2,0,1,0
남편,0,0,1,0,0,0,0,1,0
내수시장,0,5,2,0,4,3,0,1,0
너머,0,0,0,0,0,0,0,1,0
너무,1,0,1,0,0,1,1,0,1
노이즈,0,0,1,0,0,2,0,1,0
녹색어머니회,0,0,0,0,0,2,0,2,0
높였으며,9,4,4,0,2,0,2,2,5
누나,0,1,0,4,1,2,0,1,0
뉴럴,1,0,4,0,1,2,0,1,0
뉴스,1,0,4,0,1,2,0,2,0
뉴시스,0,1,2,1,1,2,0,1,0
뉴아틀라스,1,1,0,0,0,0,1,1,1
다.,0,2,6,0,3,2,8,2,0
다른,0,0,0,0,0,0,0,1,0
다리로,0,1,1,0,1,0,0,0,0
다양한,8,9,8,1,7,11,6,3,5
당시,0,1,0,0,1,0,0,0,0
대구보건대학교,0,0,1,0,0,0,0,0,0
대기업,0,0,3,0,1,1,0,0,0
대다수,0,1,0,1,1,1,0,1,0
대비,0,3,11,0,5,4,12,3,0
대상으로,0,0,0,0,0,2,0,2,0
대선,0,1,0,0,1,0,0,0,0
대운산업개발,0,0,0,0,0,1,0,0,0
대해,0,1,0,0,1,0,0,0,0
대해서도,0,1,0,0,1,0,0,0,0
대형,0,0,1,0,0,0,0,2,0
댓글,0,0,2,0,1,0,0,0,0
더퍼블릭,2,1,2,0,1,0,1,0,5
데이터센터,0,4,1,0,4,0,0,1,0
데이트,0,1,0,0,1,1,0,0,0
도구,0,0,1,0,0,0,0,0,0
도심,0,1,0,0,1,3,0,0,0
도움,0,1,0,1,1,1,0,1,0
돋보이,0,0,2,0,1,0,0,0,0
되고,0,0,1,1,0,0,1,2,0
된다.,0,1,0,1,1,1,0,1,0
드라이버,0,3,5,0,5,0,0,0,0
들고,2,0,1,0,0,1,1,2,1
등을,0,2,4,0,3,1,4,0,0
등이,2,2,1,0,2,1,1,0,3
디바이스,0,0,0,0,0,0,0,3,0
디스플레,2,7,12,0,10,3,1,3,0
디자인,36,22,20,0,16,4,14,3,45
디저트,0,0,2,0,1,0,0,0,0
따라,6,4,8,0,5,3,3,1,15
따르면,0,4,2,0,3,1,0,0,0
때문에,0,0,2,1,0,1,1,1,0
때문이다.,0,4,1,0,4,0,0,1,0
라고,0,1,0,8,1,3,0,2,0
라며,0,2,1,0,2,1,0,0,0
라이브,0,0,0,0,1,2,1,1,0
라인,0,9,5,0,8,0,0,1,0
라지,0,1,0,0,0,2,0,0,0
랜선인싸,1,0,1,0,0,1,1,0,1
러닝메이트,0,1,0,0,1,0,0,0,0
런닝맨,0,1,1,1,1,2,0,0,0
레드닷,2,2,1,0,2,1,1,0,3
레이밴,1,0,4,0,1,2,0,1,0
레트로,1,1,0,0,0,0,1,1,1
렌즈,0,1,0,0,0,2,0,0,0
로고,2,0,1,0,0,1,1,2,1
로봇,2,0,4,0,3,1,5,1,1
롯데그룹,0,2,3,0,3,1,0,0,0
롯데호텔에서,0,2,3,0,3,1,0,0,0
리움미술관,0,0,0,0,0,0,0,1,0
마감했다.,0,1,4,0,2,0,4,0,0
마라톤,0,0,1,0,0,0,0,2,0
마산회원구,0,0,0,0,0,1,0,0,0
마우스,0,0,1,1,0,0,1,2,0
마음,0,0,0,4,0,1,0,1,0
마이신한포인트,0,0,0,1,0,3,0,2,0
만남,0,1,1,0,1,0,0,0,0
만들,0,5,2,0,4,0,0,0,0
만에,0,0,1,1,0,3,0,0,0
많이,1,0,1,0,0,1,1,0,1
말리,0,0,2,0,1,0,0,0,0
매니저,0,1,0,4,1,2,0,1,0
매력,0,0,0,1,0,3,0,1,0
매장,0,2,3,0,3,1,0,0,0
맥북,0,4,2,0,3,1,0,0,0
메모리,0,0,0,0,0,0,0,3,0
메이크업,1,0,1,0,0,1,1,0,1
메타,1,0,4,0,1,2,0,1,0
모델,0,1,2,0,2,3,0,1,0
모두,0,3,4,0,4,3,2,1,0
모든,2,0,1,0,0,1,1,2,1
모바일,9,9,3,0,6,3,5,0,6
모범운전자회,0,0,0,0,0,2,0,2,0
모빌리티,0,3,4,0,2,1,0,0,0
모습,0,1,0,0,1,3,0,0,0
모의고사,0,0,0,3,0,2,0,1,0
모집,0,0,3,0,1,1,0,0,0
모태솔로지만,0,1,0,4,1,2,0,1,0
목사,0,0,1,2,0,2,0,1,0
목이,0,0,1,1,0,0,1,2,0
몰락,0,5,2,0,4,3,0,1,0
무대,0,1,0,0,1,3,0,0,0
무료,0,0,0,4,0,1,0,1,0
무선,0,0,1,0,0,2,0,1,0
무쌍,1,0,1,0,0,1,1,0,1
문제,0,0,3,2,0,4,1,5,0
물류,2,0,4,0,3,1,5,1,1
미국,0,5,6,0,4,2,0,2,0
미니,0,0,0,0,1,2,1,1,0
민주당,0,1,0,0,1,0,0,0,0
바로,2,0,1,0,0,1,1,2,1
바이든,0,1,0,0,1,0,0,0,0
반도체,4,7,24,0,15,5,17,6,1
반등,2,3,2,0,4,0,2,2,1
받아,0,0,2,0,1,0,0,0,0
받았다.,2,2,1,0,2,1,1,0,3
발레,1,0,3,0,1,0,1,0,1
발인,0,0,2,0,1,0,0,0,0
발표했다.,0,4,2,0,3,1,0,0,0
밝혔다.,1,2,1,4,1,3,2,1,1
밥무새,0,0,1,0,0,0,0,1,0
방송,0,0,0,0,1,2,1,1,0
방송된,0,0,0,4,0,1,0,0,0
방식,0,0,0,0,0,0,0,1,0
배터리,2,3,8,0,7,2,5,6,1
밴드,1,0,4,0,1,2,0,1,0
버추얼,1,0,3,0,1,0,1,0,1
버튼식,2,1,2,0,1,0,1,0,5
변우석,0,0,0,1,0,5,0,2,0
변호사,0,0,1,0,0,0,0,1,0
변화,0,0,1,1,0,0,1,2,0
변화에,0,5,2,0,4,3,0,1,0
별세,0,0,2,0,1,0,0,0,0
보기,0,0,1,0,0,0,0,1,0
보상,0,0,1,1,0,2,0,2,0
본상,25,11,16,0,8,0,8,3,36
부담,0,1,1,0,1,0,0,0,0
부문에서,2,2,1,0,2,1,1,0,3
부산,1,1,2,0,1,1,1,0,1
부통령,0,1,0,0,1,0,0,0,0
부티지지,0,1,0,0,1,0,0,0,0
분위기,0,0,0,0,0,2,0,1,0
불법도박,0,0,1,0,0,0,0,2,0
불법도박에,0,0,1,0,0,0,0,2,0
불후,0,2,0,0,2,0,0,0,0
뷰티,1,0,1,0,0,1,1,0,1
뷰파인더,1,1,0,0,0,0,1,1,1
블루,0,0,0,0,1,2,1,1,0
비례,1,1,2,0,1,1,1,0,1
비올,0,1,4,0,2,0,4,0,0
비잉으로서,1,0,3,0,1,0,1,0,1
비트버니,0,0,1,1,0,2,0,2,0
사람,0,3,4,0,2,1,0,0,0
사랑,0,0,0,0,0,1,0,0,0
사마귀,0,0,0,0,0,1,0,1,0
사실,1,0,1,0,0,1,1,0,1
사업,5,9,11,0,13,2,11,5,2
사연,0,0,1,0,0,0,0,1,0
사용,0,2,4,0,4,4,0,5,0
사용시간,0,1,2,0,2,1,0,4,0
사용자,11,5,8,0,4,0,4,1,19
사용하면,0,0,1,1,0,0,1,2,0
사용할,0,0,1,1,0,0,1,2,0
사진,1,2,1,2,1,9,1,2,1
사회적,0,0,1,0,0,0,0,2,0
산업,1,5,5,0,6,0,0,1,0
산업기술,1,0,3,0,2,0,0,1,0
산업용,2,0,4,0,3,1,5,1,1
살롱,0,0,2,0,1,0,0,0,0
삼성,9,15,9,0,12,5,5,5,6
삼성디스플레,0,7,8,0,6,2,0,0,0
삼성디스플레이,0,4,2,0,3,1,0,0,0
삼성전자,9,15,11,0,13,5,9,3,6
상을,2,2,1,0,2,1,1,0,3
상의,0,2,3,0,3,1,0,0,0
상점,0,1,0,0,1,3,0,0,0
새로운,1,0,3,0,1,0,1,1,1
생기면,0,0,2,1,0,1,1,1,0
생산,1,6,7,0,6,1,4,2,0
생산능력,0,5,2,0,4,0,0,0,0
생산라인,0,3,2,0,3,1,1,0,0
생성형,0,0,1,0,0,0,0,0,0
생활가전,0,4,1,0,4,0,0,1,0
샤또,0,0,2,0,1,0,0,0,0
샤프,0,5,2,0,4,3,0,1,0
서로,0,0,0,0,0,0,0,1,0
서울시교육청,0,0,1,1,0,2,0,1,0
선행,9,9,3,0,6,3,5,0,6
설립된,2,0,4,0,3,1,5,1,1
설명했다.,0,1,0,4,1,2,0,1,0
설비,0,5,2,0,4,3,0,1,0
설정,0,0,0,0,0,0,0,3,0
설치,5,2,2,0,1,0,1,1,4
성균관대,0,0,3,0,1,1,0,0,0
성능,0,1,2,0,2,1,0,7,0
세계,3,9,8,0,11,3,2,4,2
세단,2,0,2,0,2,0,1,2,1
세련된,0,0,0,1,0,3,0,1,0
세미나,0,4,3,0,4,0,0,1,0
센서,0,1,0,0,0,2,0,0,0
셔츠,0,0,0,0,0,2,0,1,0
소개팅,0,1,0,0,1,1,0,0,0
소변,0,1,0,1,1,1,0,1,0
소액결제,0,3,4,0,4,3,2,1,0
소음,0,0,1,0,0,2,0,1,0
소재,0,3,5,0,5,0,0,0,0
속도,0,0,0,0,0,0,0,3,0
손가락,1,0,4,0,1,2,0,1,0
손기정,0,1,0,1,1,1,0,1,0
손흥민,0,0,1,1,0,3,0,0,0
솔루션,3,3,12,0,7,2,13,2,1
수능,0,0,0,4,0,1,0,0,0
수도,0,0,2,1,0,1,1,1,0
수면,0,1,0,1,1,1,0,1,0
수상,9,4,4,0,2,0,2,2,5
수상하며,2,1,2,0,1,0,1,0,5
수술,0,0,1,1,0,3,0,0,0
수업,0,0,2,1,0,2,0,1,0
수익성,2,3,2,0,4,0,2,2,1
수입,0,5,4,0,4,1,0,1,0
숙면매트,9,4,4,0,2,0,2,2,6
숙면에,0,1,0,1,1,1,0,1,0
스마트폰,1,1,3,2,0,4,2,6,1
스테인리스,0,3,5,0,5,0,0,0,0
스포츠,0,0,1,0,0,0,0,2,0
시각장애,0,0,1,1,0,2,0,1,0
시간,0,1,0,1,1,1,0,1,0
시그마인텔,0,4,3,0,4,0,0,1,0
시네마,0,1,0,0,0,2,0,0,0
시대에,0,3,4,0,2,1,0,0,0
시리즈,1,2,1,0,1,2,2,1,1
시스템,5,3,5,0,5,2,7,4,3
시장에,2,0,2,0,2,0,1,2,1
시점,0,0,0,4,0,1,0,0,0
신동빈,0,2,3,0,3,1,0,0,0
신보람,0,2,1,0,2,1,0,0,0
신성이엔지,0,2,4,0,3,1,4,0,0
신제품,1,2,1,0,1,2,2,1,1
신체,0,0,0,0,0,0,0,1,0
신한,0,0,0,1,0,3,0,2,0
실적,2,3,2,0,4,0,2,2,1
싫다,0,0,1,0,0,0,0,1,0
쏠퀴즈,0,0,0,1,0,3,0,2,0
아내,0,0,2,1,0,3,0,1,0
아니다.,2,0,1,0,0,1,1,2,1
아산캠퍼스,0,2,3,0,3,1,0,0,0
아시아,0,0,2,0,0,1,0,1,0
아이콘,10,5,10,0,5,0,5,0,25
아이템,0,0,2,1,0,1,1,1,0
아이티켐,0,1,4,0,2,0,4,0,0
아이폰,0,8,8,0,8,4,2,2,0
아카이브,0,0,0,0,1,2,1,1,0
안경,1,0,4,0,1,2,0,1,0
안디도,0,0,1,2,0,2,0,1,0
안전한,0,0,0,0,0,2,0,2,0
알리바바,0,3,4,0,4,3,2,1,0
앞에,0,1,0,0,1,3,0,0,0
애니메이션,0,0,0,0,0,0,0,3,0
애프터눈,0,0,2,0,1,0,0,0,0
애플,0,5,5,0,4,3,0,2,0
액티브,0,0,1,0,0,2,0,1,0
앱들,0,0,0,0,0,0,0,3,0
앱을,0,0,1,1,0,2,0,2,0
앱테크,0,0,1,2,0,5,0,4,0
야간뇨,0,1,0,1,1,1,0,1,0
야구,0,0,0,0,0,1,0,0,0
약정,0,1,2,0,2,3,0,1,0
양나래,0,0,1,0,0,0,0,1,0
양덕2동,0,0,0,0,0,1,0,0,0
양덕2동에,0,0,0,0,0,1,0,0,0
양산,0,3,2,0,3,1,1,0,0
어떻게든,0,1,1,1,1,2,0,0,0
어우러진,0,0,2,0,1,0,0,0,0
어워드,17,9,13,0,8,1,7,1,32
업계,0,0,2,0,0,1,4,2,0
업그레이드,0,1,2,0,2,1,0,4,0
업데이트,0,1,2,0,2,1,0,4,0
업종별,1,0,3,0,2,0,0,1,0
없는,0,0,0,0,0,2,0,1,0
에너지,9,4,4,0,2,0,2,2,5
에는,0,0,0,4,0,1,0,0,0
에듀테크,0,0,1,1,0,2,0,1,0
에서,7,6,5,0,5,2,4,0,5
에어컨,9,4,4,0,2,0,2,2,6
에어팟,0,0,1,0,0,2,0,1,0
에이팩트,0,0,2,0,0,1,4,2,0
에코백,2,0,1,0,0,1,1,2,1
엔비디아,0,0,2,0,0,1,0,1,0
엔젤로보틱스,2,0,4,0,3,1,5,1,1
여러,0,1,0,0,1,3,0,0,0
여름,2,0,1,0,0,1,1,2,1
연상시키,0,0,2,0,1,0,0,0,0
연수,0,0,1,1,0,2,0,1,0
연애,0,1,0,7,1,4,0,2,0
연예,0,0,1,1,0,3,0,0,0
열린,0,5,7,0,5,2,0,0,0
영감,0,0,2,0,1,0,0,0,0
영상,1,2,3,0,2,6,1,1,1
영업이익,2,3,2,0,4,0,2,2,1
옆커폰,0,1,2,0,2,3,0,1,0
예능,0,2,1,4,2,2,0,0,0
예방,0,0,1,0,0,0,0,2,0
예술,0,0,0,0,0,0,0,1,0
예정이다.,0,0,0,3,1,4,1,2,0
오늘,0,0,1,1,0,2,0,2,0
오른,0,1,4,0,2,0,4,0,0
오전,0,0,2,0,1,0,0,0,0
오후부터,0,0,2,0,1,0,0,0,0
온디바이스,0,0,2,0,0,1,4,2,0
온라인,0,0,1,0,0,0,0,1,0
온수,4,2,2,0,1,0,1,1,2
온수기,19,8,8,0,4,0,4,4,13
올레드,0,2,3,0,3,1,0,0,0
올해,0,5,5,0,5,1,0,0,0
옵션,0,0,0,0,0,0,0,3,0
와인,0,1,0,0,1,1,0,0,0
요금제,0,1,2,0,2,3,0,1,0
우리,0,0,1,1,0,0,1,2,0
운영체제,0,1,2,0,2,1,0,4,0
울트라,0,1,2,0,2,1,0,4,0
울트라로,0,1,2,0,2,1,0,4,0
원UI,0,1,2,0,2,1,0,4,0
원가,0,7,8,0,9,0,0,1,0
원인,0,1,0,1,1,1,0,1,0
위기,0,5,2,0,4,3,0,1,0
위드인,0,0,0,0,0,0,0,1,0
위해,0,0,0,3,0,2,0,1,0
유료,0,0,0,4,0,1,0,1,0
유출,1,0,3,0,2,0,0,1,0
유출된,1,0,3,0,2,0,0,1,0
윤서호,1,0,4,0,1,2,0,1,0
은상,18,9,7,0,5,1,4,3,13
은지원,0,1,0,0,1,1,0,0,0
의사결정,0,5,2,0,4,3,0,1,0
이날,0,1,4,0,2,0,4,0,0
이데일리,0,3,4,0,2,1,0,0,0
이도,0,1,0,15,1,6,0,3,0
이런,0,0,1,2,0,2,0,1,0
이렇게,0,0,1,2,0,2,0,1,0
이문영,0,0,1,0,0,0,0,0,0
이번,12,7,12,0,5,2,7,4,10
이벤트,0,0,0,1,1,5,1,3,0
이병헌,0,0,1,1,0,3,0,0,0
이분씨,0,0,2,0,1,0,0,0,0
이슈,0,0,1,1,0,3,0,0,0
이어,2,0,2,0,2,0,1,2,1
이어졌다.,0,0,0,0,0,2,0,1,0
이어폰,0,0,1,0,0,2,0,1,0
이에,0,1,0,0,1,0,0,0,0
이유,2,0,1,0,0,1,1,2,1
이재용,0,2,3,0,3,1,0,0,0
이제,0,0,1,2,0,2,0,1,0
이차전지,1,2,4,0,2,1,4,1,0
이하,0,0,0,4,0,1,0,0,0
인공지능,0,0,1,0,0,0,0,0,0
인바,0,3,5,0,5,0,0,0,0
인텔,0,0,2,0,0,1,0,1,0
일들,0,0,2,1,0,1,1,1,0
일본,0,7,5,0,7,4,0,1,0
일상,0,1,0,1,1,6,0,1,0
일중한의원,0,1,0,1,1,1,0,1,0
있는,5,5,7,1,5,5,5,3,5
있는데,0,1,2,0,2,1,0,4,0
있다,1,8,7,4,6,3,1,1,1
있다.,19,46,63,4,53,32,31,26,26
있으니,0,0,2,1,0,1,1,1,0
자동,0,0,0,0,0,0,0,3,0
자동화,2,0,4,0,3,1,5,1,1
자료,0,0,1,0,0,0,0,0,0
자세,0,0,1,1,0,0,1,2,0
자연광,0,0,0,0,0,2,0,1,0
자율주행,0,3,4,0,2,1,0,0,0
자전거,0,0,0,0,0,2,0,2,0
작은,1,1,0,0,0,0,1,1,1
장관,0,1,0,0,1,0,0,0,0
장례식장,0,0,2,0,1,0,0,0,0
장모상,0,0,2,0,1,0,0,0,0
장비,3,4,12,0,8,3,13,2,1
장애,0,0,1,1,0,2,0,1,0
장애인,0,0,1,1,0,2,0,1,0
장을,0,1,4,0,2,0,4,0,0
장점,0,1,2,0,2,1,0,4,0
재시작,0,0,0,0,0,0,0,3,0
재테크,0,0,1,1,0,2,0,2,0
저녁,0,0,0,0,0,2,0,1,0
저소득,0,0,0,0,0,1,0,0,0
저시력자,3,3,1,0,2,1,2,0,2
저온,2,0,2,0,2,0,1,2,1
저장,0,1,2,0,2,3,0,1,0
저희,0,0,1,2,0,2,0,1,0
적용해,5,2,2,0,1,0,1,1,4
전기,21,8,10,0,6,0,5,6,14
전기차,2,0,2,0,2,0,1,2,1
전립선,0,1,0,1,1,1,0,1,0
전장보다,0,1,4,0,2,0,4,0,0
전지적,0,0,0,4,0,1,0,0,0
전참시,0,0,0,7,0,3,0,1,0
전체,0,4,1,0,4,0,0,1,0
전환,0,5,3,0,4,3,0,1,0
절반으로,0,3,5,0,5,0,0,0,0
점유율,0,3,2,0,3,1,1,0,0
접근성,0,0,1,1,0,2,0,1,0
정답,0,0,1,2,0,5,0,4,0
정보,1,0,4,0,1,2,0,1,0
정부,0,0,2,0,0,1,0,1,0
정수기,10,5,10,0,5,0,5,0,25
정이신,0,0,0,0,0,1,0,1,0
제가,1,0,1,0,0,1,1,0,1
제공하,3,3,1,0,2,1,2,0,2
제공한다.,6,4,3,0,2,2,3,2,5
제목,0,0,1,0,0,0,0,1,0
제작,0,0,1,0,0,0,0,0,0
제작진,0,1,1,1,1,2,0,0,0
제조,1,2,6,0,2,2,4,2,0
제조사,0,4,3,0,4,0,0,1,0
제주반도체,0,0,2,0,0,1,4,2,0
제품,41,26,26,0,19,4,20,5,48
조문,0,0,2,0,1,0,0,0,0
조화,5,2,2,0,1,0,1,1,4
좋은,0,0,2,1,0,1,1,1,0
주가,0,2,6,0,3,2,8,2,0
주요,0,2,4,0,3,1,4,0,0
주행,2,0,2,0,2,0,1,2,1
준비,0,0,0,3,0,2,0,1,0
중국,1,16,13,0,17,2,1,4,0
중형,2,0,2,0,2,0,1,2,1
지금,0,0,1,2,0,2,0,1,0
지난,0,9,9,0,10,5,2,1,0
지리,0,1,0,7,1,4,0,2,0
지리에,0,1,0,4,1,2,0,1,0
지상렬,0,2,1,0,2,1,0,0,0
지수,0,1,4,0,2,0,4,0,0
지역사회,0,0,0,0,0,1,0,0,0
지원,0,1,5,0,3,4,0,1,0
지원사업,0,0,0,0,0,1,0,0,0
지원자,0,0,3,0,1,1,0,0,0
지원한다.,0,0,1,0,0,2,0,1,0
직관적인,6,3,6,0,3,0,3,0,15
직원,0,0,0,0,0,1,0,0,0
직접,1,0,4,0,1,2,0,1,0
진태현,0,0,1,1,0,3,0,0,0
집계됐다.,0,0,3,0,1,1,0,0,0
찍힌,2,0,1,0,0,1,1,2,1
차량,2,0,2,0,2,0,1,2,1
참견,0,0,0,4,0,1,0,0,0
참여,0,0,1,1,0,2,0,2,0
천옌순,0,5,2,0,4,0,0,0,0
철도학원,0,0,0,0,1,2,1,1,0
청량한,0,0,0,0,0,2,0,1,0
청소년,0,0,0,0,0,2,0,2,0
체감할,0,1,2,0,2,3,0,1,0
초점,0,1,0,0,0,2,0,0,0
촬영,1,2,0,0,0,2,1,1,1
최승현,0,0,1,2,0,2,0,1,0
최신,0,1,2,0,2,1,0,4,0
최원철,0,0,0,0,0,2,0,2,0
최현욱,0,1,0,0,1,3,0,0,0
