org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
코윈테크,3,2,7,5,8,4,7,4,2
코이즈,2,2,5,4,5,3,4,3,1
코인베이스,1,0,1,0,2,0,4,1,0
클라쎄,0,2,1,2,3,0,0,1,0
클라쓰,1,1,2,0,3,1,4,2,0
탐구,2,1,0,1,0,0,3,0,1
태블릿,1,2,2,0,1,0,3,1,0
택시,1,1,2,0,2,0,3,0,0
통제,1,3,0,0,0,1,3,2,1
통해,5,5,9,6,10,4,12,7,3
투자,0,2,2,1,2,2,0,2,5
트럼프,8,3,0,0,2,0,4,0,0
특구,1,2,0,1,0,1,3,1,0
특별한,4,2,0,0,1,0,2,0,0
특화,2,1,0,1,0,0,3,0,1
파노라믹,0,2,1,2,3,0,0,1,0
파운드리,4,3,3,2,1,1,4,3,0
파월,7,3,0,0,1,1,4,4,0
패널,0,2,9,5,6,5,1,4,15
팹리스,1,1,3,1,4,0,3,1,0
포인트,3,1,0,0,1,0,2,2,0
프레데터,2,2,1,0,2,1,2,2,1
프로토콜,1,0,1,0,2,0,4,1,0
프리미엄,2,1,1,1,2,4,1,5,1
플랫폼,1,2,2,3,3,0,3,2,1
플러밍,1,1,3,2,3,0,3,0,0
필에너지,2,3,4,5,4,3,4,4,1
필옵틱스,2,3,4,5,4,3,4,4,1
필터,2,3,3,4,3,1,3,4,1
하락,4,1,1,0,0,0,2,1,0
하반기,1,2,1,0,0,1,3,2,0
한국,4,5,5,2,4,4,5,5,2
한다.,1,3,0,0,0,1,3,2,1
한선엔지니어링,1,1,3,2,3,0,3,0,0
한쪽,0,2,2,0,3,3,1,2,2
함께,1,3,0,0,0,1,4,0,1
해외,6,8,10,10,9,10,9,14,3
핵심,3,6,8,8,6,2,6,8,1
헥토파이낸셜,1,0,2,1,3,1,3,1,1
혁신,4,2,1,2,2,4,4,5,2
현신균,3,1,3,3,1,4,3,4,1
현장,1,9,19,12,11,10,2,11,35
협력,2,1,0,1,0,0,3,0,1
협력관계,4,1,0,0,1,0,2,0,0
홍보,1,1,1,1,1,4,2,1,1
화재,1,2,1,0,1,0,1,0,1
확대,6,4,5,6,3,7,6,7,1
확보,3,3,3,2,2,3,3,4,0
회장,2,10,23,15,14,16,4,14,41
후성,2,2,5,4,5,3,4,3,1
휴지통,1,2,1,0,1,0,1,0,1
흥행,0,2,2,0,3,3,1,2,2
