org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
LCK,2,1,0,0,1,0,0,0,2,1
LG,1,2,2,1,3,3,1,3,0,1
LG디스플레,0,1,3,4,3,1,2,1,0,0
LG디스플레이,0,1,3,4,3,1,2,1,0,0
LG이노텍,0,0,1,1,0,0,0,0,0,1
LG전자,3,4,15,10,14,3,1,5,1,3
MBC,5,3,0,0,3,0,0,0,3,0
NXT,0,0,1,0,1,0,0,0,0,0
OLED,1,3,37,18,15,0,0,3,3,1
PC,1,0,0,2,2,0,0,0,1,0
QHD,0,4,1,2,1,0,0,0,0,1
QR코드,0,0,0,1,0,0,0,0,0,1
Samsung,0,6,9,6,5,6,6,6,0,2
SK하이닉스,0,1,1,2,1,0,0,0,0,0
TFS,0,0,0,1,1,1,2,1,0,0
TFSI,1,2,2,3,0,1,2,1,1,1
URL,0,0,1,2,1,0,0,0,0,2
VVIP,0,0,1,0,2,0,0,0,0,0
가격,0,3,15,11,8,0,0,1,0,0
가능하다.,0,4,1,2,1,0,0,0,0,1
가능한,0,1,1,1,1,1,1,1,0,0
가솔린,1,2,2,3,0,1,2,1,1,1
가슴,0,1,0,0,0,0,0,0,0,0
가왕,0,0,1,1,2,0,0,0,0,1
가전제품,1,0,1,1,3,0,0,0,0,1
각각,0,1,3,3,1,0,0,1,0,2
각각각,0,1,3,3,1,0,0,1,0,2
각막,3,1,0,0,0,0,0,0,4,0
감독,0,0,1,1,2,0,0,0,0,0
감성,0,1,1,1,1,1,1,1,0,0
감소,0,0,1,1,0,0,0,0,0,0
강경헌,1,0,0,0,0,0,0,0,1,0
강경헌.,1,0,0,0,0,0,0,0,1,0
강남,5,5,0,2,1,0,0,0,3,0
강미란,1,0,0,0,0,0,0,0,1,0
강사,22,9,0,3,4,0,0,0,14,1
강세,0,1,1,2,1,0,0,0,0,0
강승우,1,0,0,0,0,0,0,0,1,0
강의,32,10,0,4,4,0,0,0,24,0
강조했다.,0,0,3,2,0,0,0,0,0,0
같다.,4,0,0,0,0,0,0,0,5,0
같은,0,0,1,2,1,0,0,0,0,0
개발,0,0,2,2,1,0,1,1,0,2
개인정보,0,0,1,2,1,0,0,0,0,2
개통,1,0,1,1,1,0,0,0,0,1
갤럭시,1,7,10,9,5,7,7,7,0,3
거래일,0,1,3,3,1,0,0,1,0,2
건강,7,1,0,0,0,0,0,0,9,0
건물,0,0,1,0,1,0,0,0,1,0
검사장비,0,0,2,2,1,0,1,1,0,2
검색,0,0,0,2,0,0,0,0,0,0
것으로,0,5,14,18,9,2,4,3,1,11
것이다.,0,0,1,0,1,0,0,0,1,0
것이란,0,1,1,2,1,0,0,0,0,0
게이밍,0,2,2,3,0,1,1,1,0,1
게임,2,1,0,0,1,0,0,0,2,1
격차,1,0,0,2,2,0,0,0,1,0
결과,0,0,0,0,1,0,0,0,2,0
결제,0,0,0,1,0,0,0,0,0,1
결혼,2,1,0,0,1,0,0,0,2,1
경기,0,0,1,1,0,0,0,0,0,0
경기도,0,0,1,1,0,0,0,0,0,0
경기북부,0,0,1,1,0,0,0,0,0,0
경동나비엔,0,0,6,3,3,11,15,11,0,1
경직된,0,0,5,1,3,0,0,0,0,0
경험,2,3,5,10,5,17,8,18,0,5
고객,3,3,6,9,11,3,1,4,1,19
고객경험,0,0,0,4,4,16,4,20,0,4
고령,0,0,0,2,2,0,0,0,0,10
고부,0,0,1,1,0,0,0,0,0,1
고주사율,0,4,1,2,1,0,0,0,0,1
공급,0,1,1,2,1,0,0,0,0,0
공연,5,1,1,1,2,0,0,0,3,1
공정,0,0,6,4,3,0,1,1,0,2
공항,0,0,0,2,2,8,2,10,0,2
관객들,0,0,1,1,2,0,0,0,0,1
관세,0,1,5,3,4,0,0,1,0,0
교육,2,2,3,6,5,1,1,1,1,2
교통,1,0,1,1,0,0,1,1,0,0
구조,0,1,3,4,3,1,2,1,0,0
국가,0,0,0,0,1,0,0,0,0,0
국가핵심기술,0,0,0,1,0,0,0,1,0,0
국립중앙과학관,0,1,1,1,2,0,0,0,0,0
국악,0,1,1,1,2,0,0,0,0,0
국제적,0,0,0,1,1,4,1,5,0,1
권위,0,4,4,4,4,20,4,16,0,3
그녀,20,8,0,4,3,0,0,0,12,0
그랑,1,2,2,3,0,1,2,1,1,1
그런,4,0,0,0,0,0,0,0,5,0
그룹장,0,0,3,2,0,0,0,0,0,0
긍정적인,0,0,0,0,1,0,0,0,2,0
기간,0,0,0,1,0,0,0,0,0,1
기기,1,0,0,2,2,0,0,0,1,0
기능,1,5,7,7,3,5,5,5,0,2
기능으로,1,1,1,3,0,1,1,1,0,1
기반,0,2,2,5,0,1,1,1,0,1
기본사회,1,0,1,1,0,0,1,1,0,0
기술보안,0,0,0,1,0,0,0,1,0,0
기업들,0,0,3,1,1,0,0,0,1,0
기자,4,1,1,1,1,5,1,4,5,1
기존,0,1,1,1,1,5,1,4,0,0
기준,0,2,2,3,0,1,1,1,0,1
기지국,1,1,3,3,2,0,0,1,1,1
김대호,0,0,1,0,1,0,0,0,0,0
김영일,0,1,1,1,1,5,1,4,0,1
김현욱,1,0,0,0,0,0,0,0,1,0
꼽힌다.,0,1,1,1,1,5,1,4,0,1
나는,0,0,1,0,1,0,0,0,1,0
나비엔,0,0,4,2,2,6,10,6,0,1
날입니다.,0,0,0,0,1,0,0,0,2,0
낫싱,1,0,0,2,0,1,2,1,0,0
내년,0,2,1,4,2,0,1,0,0,1
내수시장,0,0,5,1,3,0,0,0,0,0
네이버,0,0,0,2,0,0,0,0,0,0
노년층,1,0,0,2,2,0,0,0,1,0
노래,0,0,1,1,2,0,0,0,0,1
높였으며,0,0,4,2,2,5,10,5,0,2
눈이,4,0,0,0,0,0,0,0,5,0
뉴스,0,0,1,1,2,0,0,0,0,1
뉴시스,0,1,1,1,2,0,0,0,0,0
뉴아틀라스,0,1,1,1,1,1,1,1,0,0
다.,0,1,3,3,1,0,0,1,0,2
다름없,0,0,1,1,2,0,0,0,0,1
다시,0,0,1,2,1,0,0,0,0,2
다양한,2,11,10,16,7,6,6,6,1,5
달러,0,0,1,1,0,0,0,0,0,0
대기업,0,0,0,1,0,0,0,1,0,0
대법원장,0,0,1,1,2,0,0,0,0,0
대비,0,2,4,6,3,1,1,2,0,2
대상으로,0,0,0,1,0,0,0,0,0,1
더욱,0,0,0,0,1,0,0,0,2,0
더퍼블릭,0,1,1,1,1,5,1,4,0,1
덕후,10,2,0,0,1,0,0,0,6,0
데이터센터,0,1,5,3,4,0,0,1,0,0
도서,1,0,1,1,3,0,0,0,0,1
도시,1,0,1,1,0,0,1,1,0,0
독일,0,0,0,4,4,13,5,16,0,3
드라이버,0,0,4,2,2,0,0,0,0,0
등을,0,1,3,3,1,0,0,1,0,2
등이,1,2,2,1,3,3,1,3,0,1
디스플레,0,1,8,8,4,8,2,11,1,2
디자인,1,14,24,21,21,71,34,68,0,14
따라,1,3,5,5,5,20,4,16,0,4
따르면,0,0,4,1,0,0,0,1,1,0
때문이다.,0,1,5,3,4,0,0,1,0,0
또한,0,0,1,1,2,0,0,0,0,1
라며,0,0,1,0,1,0,0,0,0,0
라운드에서,1,0,0,2,0,1,2,1,0,0
라인,1,3,12,8,3,1,2,1,1,1
레드닷,1,2,2,1,3,3,1,3,0,1
레드퍼드,0,0,1,1,2,0,0,0,0,0
레트로,0,1,1,1,1,1,1,1,0,0
로컬,0,0,0,2,0,0,0,0,0,0
롯데그룹,0,1,3,2,0,0,0,1,0,2
롯데호텔에서,0,1,3,2,0,0,0,1,0,2
릴레,0,0,1,0,1,0,0,0,0,0
마음,0,1,0,0,1,0,0,0,2,0
만들,0,0,5,1,2,0,0,0,0,0
만큼,0,0,0,1,0,0,0,1,0,0
말했다.,1,0,0,0,0,0,0,0,1,0
맛집,0,0,1,0,1,0,0,0,0,0
맞춤형,1,1,1,3,0,1,1,1,0,1
매니저,15,3,0,2,3,0,0,0,9,0
매장,0,1,3,2,0,0,0,1,0,2
매출,0,1,0,2,1,0,1,0,0,1
맥북,0,0,4,1,0,0,0,1,1,0
먼저,0,1,0,0,0,0,0,0,0,0
메르세데스-벤츠,0,0,0,1,1,1,2,1,0,0
메모리,0,1,1,2,1,0,0,0,0,0
메트로신문,0,1,1,1,0,5,2,4,0,1
모델,2,4,4,9,3,2,4,2,1,3
모두,1,1,3,3,2,0,0,1,1,1
모듈,0,0,1,1,0,0,0,0,0,1
모바일,0,6,9,6,5,6,6,6,0,2
모빌리티,0,0,3,2,0,0,0,0,0,0
몰라,0,0,1,0,1,0,0,0,0,0
몰락,0,0,5,1,3,0,0,0,0,0
무료,3,1,0,0,0,0,0,0,4,0
무빙스타일,0,4,1,2,1,0,0,0,0,1
무엇,0,0,1,2,1,0,0,0,0,0
문자,0,0,1,2,1,0,0,0,0,2
뮤지컬,0,0,1,1,2,0,0,0,0,1
미국,0,0,2,3,3,4,1,5,0,1
미디어아트,0,1,1,1,2,0,0,0,0,0
민생회복,0,0,1,2,1,0,0,0,0,2
박준혁,0,0,1,2,1,0,0,0,0,2
반도체,0,1,9,8,4,0,1,3,0,4
반등,0,1,3,4,3,1,2,1,0,0
받았다.,1,2,2,1,3,3,1,3,0,1
발표했다.,0,0,4,1,0,0,0,1,1,0
밝혔다.,0,2,2,3,0,1,1,1,0,1
방문객,0,0,0,1,0,0,0,0,0,1
방법,1,0,1,1,3,0,0,0,0,1
방침이다.,1,0,0,2,0,1,2,1,0,0
배우,1,0,0,0,0,0,0,0,1,0
배터리,0,1,4,5,1,0,0,1,0,2
배터리턴,1,0,1,1,3,0,0,0,0,1
백번,0,1,0,0,0,0,0,0,0,0
버튼식,0,1,1,1,1,5,1,4,0,0
범용,0,1,1,2,1,0,0,0,0,0
베트남,0,0,2,2,0,0,0,0,0,1
벤츠,0,0,0,1,1,1,2,1,0,0
변화에,0,0,5,1,3,0,0,0,0,0
보세요.,0,0,0,0,1,0,0,0,2,0
본상,0,6,12,12,11,53,25,50,0,9
부문,0,1,1,1,0,5,2,4,0,1
부문에서,1,2,2,1,3,3,1,3,0,1
부진,0,0,1,1,0,0,0,0,0,0
부채,0,0,0,0,1,0,0,0,0,0
북부,0,0,1,1,0,0,0,0,0,0
분야,0,0,0,3,2,8,2,11,0,2
뷰파인더,0,1,1,1,1,1,1,1,0,0
블랙,1,2,2,3,0,1,2,1,1,1
비가,0,0,1,0,1,0,0,0,1,0
비율,0,0,0,0,1,0,0,0,0,0
비행정보,0,0,0,4,4,16,4,20,0,4
사기,0,0,1,2,1,0,0,0,0,2
사람,0,0,3,2,0,0,0,0,0,0
사수자리,0,0,0,0,1,0,0,0,2,0
사실,0,1,0,0,0,0,0,0,0,0
사업,0,2,10,9,8,1,3,3,0,2
사용,2,1,3,6,1,1,1,1,0,2
사용시간,0,0,1,2,0,0,0,0,0,0
사용자,2,4,7,12,5,26,12,22,0,5
사용할,0,4,1,2,1,0,0,0,0,1
사진,5,2,2,3,3,1,1,1,3,0
사회공헌,1,0,0,2,2,0,0,0,1,0
산업,0,0,5,1,2,0,0,0,0,0
삶의,1,0,1,1,0,0,1,1,0,0
삼성,0,6,10,8,5,6,6,6,0,2
삼성디스플레,0,0,7,3,0,0,0,1,1,0
삼성디스플레이,0,0,4,1,0,0,0,1,1,0
삼성전자,1,18,22,25,11,8,9,9,0,7
상을,1,2,2,1,3,3,1,3,0,1
상의,0,1,3,2,0,0,0,1,0,2
새로운,0,0,0,0,1,0,0,0,2,0
생산,0,1,7,6,2,0,1,1,0,2
생산능력,0,0,5,1,2,0,0,0,0,0
생산라인,0,0,3,1,1,0,0,0,1,0
생산성,1,1,1,3,0,1,1,1,0,1
생활가전,0,1,5,3,4,0,0,1,0,0
샤프,0,0,5,1,3,0,0,0,0,0
서비스,0,0,0,3,0,0,0,0,0,1
선댄스,0,0,1,1,2,0,0,0,0,0
선불카드,0,0,0,1,1,0,0,0,0,5
선행,0,6,9,6,5,6,6,6,0,2
설비,0,0,5,1,3,0,0,0,0,0
설치,0,0,2,1,1,4,5,4,0,0
성능,0,0,1,2,0,0,0,0,0,0
세계,0,1,10,5,8,4,1,6,0,1
세미나,0,1,5,4,1,0,0,0,0,0
셔터,0,0,1,2,1,0,0,0,0,0
소병홍,1,0,0,2,2,0,0,0,1,0
소비쿠폰,0,0,1,5,4,0,0,0,0,17
소액결제,1,1,3,3,2,0,0,1,1,1
소재,0,0,4,2,2,0,0,0,0,0
소통,0,0,0,1,1,4,1,5,0,1
손쉽게,0,0,0,2,0,0,0,0,0,0
손흥민,2,1,1,1,3,0,0,0,2,1
솔루션,0,0,2,2,1,0,1,1,0,2
수상,0,0,4,3,3,9,11,10,0,3
수상하며,0,1,1,1,1,5,1,4,0,1
수상한,0,0,0,1,1,4,1,5,0,1
수요,0,1,1,3,1,1,1,1,0,0
수익성,0,1,3,4,3,1,2,1,0,0
수출,0,0,1,1,0,0,0,0,0,0
수험생,3,1,0,0,0,0,0,0,4,0
숙면매트,0,0,4,2,2,6,10,6,0,1
순환,1,0,1,1,3,0,0,0,0,1
스마트폰,1,2,2,6,2,3,4,3,0,0
스미싱,0,0,1,2,1,0,0,0,0,2
스크린,0,4,1,2,1,0,0,0,0,1
스타,10,2,0,0,1,0,0,0,6,0
스테인리스,0,0,4,2,2,0,0,0,0,0
스포츠,1,0,1,1,0,0,1,1,0,0
스포트백,1,2,2,3,0,1,2,1,1,1
시그마인텔,0,1,5,4,1,0,0,0,0,0
시는,1,0,1,1,0,0,1,1,0,0
시대,0,0,1,2,1,0,0,0,0,0
시대에,0,0,3,2,0,0,0,0,0,0
시도해,0,0,0,0,1,0,0,0,2,0
시리즈,1,4,4,9,1,3,3,3,0,2
시민,1,0,1,1,0,0,1,1,0,0
시속,0,0,0,1,1,1,2,1,0,0
시스템,0,2,3,2,2,2,2,2,0,1
시절,0,0,1,2,1,0,0,0,0,0
시점,5,1,0,0,1,0,0,0,3,0
시청률,20,8,0,4,3,0,0,0,12,0
시험,0,0,0,1,1,1,2,1,0,0
신개념,0,0,0,1,1,4,1,5,0,1
신규,0,0,1,1,0,0,0,0,0,1
신동빈,0,1,3,2,0,0,0,1,0,2
신성이엔지,0,1,3,3,1,0,0,1,0,2
신용,0,0,0,3,3,0,0,0,0,15
신제품,0,3,3,6,1,2,2,2,0,1
신청,0,0,1,5,4,0,0,0,0,17
신한금융,0,0,0,1,1,0,0,0,0,5
신한은행,0,0,0,2,2,0,0,0,0,10
신한카드,0,0,0,3,3,0,0,0,0,15
실적,0,2,3,6,4,1,3,1,0,1
심장,0,1,0,0,0,0,0,0,0,0
씨는,3,1,0,0,0,0,0,0,4,0
아동,1,0,1,1,3,0,0,0,0,1
아들,1,0,0,0,0,0,0,0,1,0
아무,1,0,0,0,0,0,0,0,1,0
아산캠퍼스,0,1,3,2,0,0,0,1,0,2
아우디,1,2,2,3,0,1,2,1,1,1
아이콘,0,6,7,7,6,35,8,28,0,6
아이폰,1,1,3,3,2,0,0,1,1,1
아주,0,0,1,0,1,0,0,0,1,0
악성,0,0,1,2,1,0,0,0,0,2
안재현,0,0,1,0,1,0,0,0,0,0
안전,0,0,0,1,1,1,2,1,0,0
않았더라면,0,1,0,0,0,0,0,0,0,0
알리바바,1,1,3,3,2,0,0,1,1,1
앞두고,0,0,1,2,1,0,0,0,0,2
애플,0,0,1,1,0,0,0,0,0,1
약정,1,0,1,1,1,0,0,0,0,1
양산,0,0,3,1,1,0,0,0,1,0
어디로,0,0,1,0,1,0,0,0,0,0
어떻게,0,1,1,1,2,0,0,0,0,0
어워드,1,8,11,12,13,54,17,50,0,10
어튈라,0,0,1,0,1,0,0,0,0,0
엄마,1,0,0,0,0,0,0,0,1,0
업그레이드,0,0,1,2,0,0,0,0,0,0
업데이트,0,0,1,2,0,0,0,0,0,0
업체들,0,0,1,1,0,0,0,0,0,1
없이,0,4,1,2,1,0,0,0,0,1
에너지,0,0,4,2,2,5,10,5,0,2
에디션,1,2,2,3,0,1,2,1,1,1
에서,1,4,6,4,3,4,4,4,1,1
에어컨,0,0,4,2,2,6,10,6,0,1
여왕,1,0,0,0,0,0,0,0,1,0
여전히,0,0,0,1,0,0,0,1,0,0
역으로,1,0,0,0,0,0,0,0,1,0
연애,2,1,0,0,1,0,0,0,2,1
연예,2,1,0,0,1,0,0,0,2,1
열린,0,1,6,4,0,0,0,1,0,2
영례,0,1,0,0,0,0,0,0,0,0
영상,1,1,3,3,5,0,0,0,0,2
영업이익,0,1,3,4,3,1,2,1,0,0
영화제,0,0,1,1,2,0,0,0,0,0
옆커폰,1,0,1,1,1,0,0,0,0,1
예고,2,1,0,0,1,0,0,0,2,1
예능,15,3,0,2,3,0,0,0,9,0
오늘,0,0,1,0,2,0,0,0,2,0
온수,0,0,2,1,1,2,5,2,0,1
온수기,0,0,8,4,4,13,20,13,0,2
올레드,0,1,3,2,0,0,0,1,0,2
올해,0,1,5,3,4,0,1,0,0,1
외장,0,1,0,2,1,0,1,0,0,1
요금제,1,0,1,1,1,0,0,0,0,1
우선,0,0,0,1,1,0,0,0,0,5
운영,0,0,0,1,0,0,0,0,0,1
운영체제,0,0,1,2,0,0,0,0,0,0
울트라,0,0,1,2,0,0,0,0,0,0
울트라로,0,0,1,2,0,0,0,0,0,0
원UI,0,0,1,2,0,0,0,0,0,0
원가,0,1,9,6,3,0,0,0,0,0
원가경쟁력,0,0,1,1,0,0,0,0,0,1
원에,0,0,0,0,1,0,0,0,0,0
위기,0,0,5,1,3,0,0,0,0,0
위드인,0,0,1,1,2,0,0,0,0,1
위생,0,0,0,1,0,0,0,0,0,1
위한,3,1,0,1,1,0,0,0,4,5
위해,5,1,0,2,1,0,0,0,3,1
유료,3,1,0,0,0,0,0,0,4,0
유출,0,0,0,1,0,0,0,1,0,0
유타주,0,0,1,1,2,0,0,0,0,0
은상,0,2,9,5,4,13,17,13,0,1
의령군,0,0,0,1,0,0,0,0,0,1
의사결정,0,0,5,1,3,0,0,0,0,0
의원,0,0,0,1,0,0,0,1,0,0
이데일리,0,0,3,2,0,0,0,0,0,0
이도,34,11,0,4,5,0,0,0,26,1
이를,1,0,0,2,0,1,2,1,0,0
이미지,0,0,0,2,0,0,0,0,0,0
이번,1,1,7,9,6,19,16,21,0,7
이어,5,5,0,2,1,0,0,0,3,0
이에,3,1,0,0,0,0,0,0,4,0
이재명,0,0,0,0,1,0,0,0,0,0
이재용,0,1,3,2,0,0,0,1,0,2
이차전지,0,0,2,2,1,0,1,1,0,2
이후,0,0,1,1,2,0,0,0,0,0
익산,0,0,1,0,1,0,0,0,1,0
익산에,0,0,1,0,1,0,0,0,1,0
인바,0,0,4,2,2,0,0,0,0,0
인생,0,0,1,0,1,0,0,0,1,0
인천공항,0,0,0,3,3,12,3,15,0,3
인천국제공항공사,0,0,0,1,1,4,1,5,0,1
인터뷰,2,1,0,0,1,0,0,0,2,1
일본,0,1,8,3,3,0,0,1,0,2
일상,25,9,0,4,4,0,0,0,15,0
일체형,1,0,0,2,2,0,0,0,1,0
입국장,0,0,0,1,1,4,1,5,0,1
입지,0,0,1,1,0,0,0,0,0,1
있는,1,2,7,4,6,3,1,3,2,1
있는데,0,0,1,2,0,0,0,0,0,0
있다,1,0,9,6,6,0,0,0,1,0
있다.,3,19,49,45,32,30,15,32,4,29
있습니다.,0,0,2,3,4,0,0,0,2,2
있었다.,0,0,1,0,1,0,0,0,1,0
자사,0,0,0,2,0,0,0,0,0,0
자신,0,1,1,1,2,0,0,0,0,1
자원,1,0,1,1,3,0,0,0,0,1
자율주행,0,0,3,2,0,0,0,0,0,0
자족도시,1,0,1,1,0,0,1,1,0,0
작은,0,1,1,1,1,1,1,1,0,0
잔액,0,0,0,1,1,0,0,0,0,5
장비,0,1,5,5,2,0,1,2,0,4
장점,0,0,1,2,0,0,0,0,0,0
재정,0,0,0,0,1,0,0,0,0,0
재필,0,1,0,0,0,0,0,0,0,0
저시력자,0,2,3,2,2,2,2,2,0,1
저장,1,0,1,1,1,0,0,0,0,1
저희,2,1,0,0,1,0,0,0,2,1
적용해,0,0,2,1,1,4,5,4,0,0
전국,1,0,1,1,3,0,0,0,0,1
전기,0,0,8,4,4,13,20,13,0,2
전년,0,1,1,3,1,1,1,1,0,0
전년동월대비,0,0,1,1,0,0,0,0,0,0
전망,0,1,1,2,1,0,0,0,0,0
전망이다.,0,1,0,2,1,0,1,0,0,1
전무,1,0,0,2,2,0,0,0,1,0
전성기,0,0,1,1,2,0,0,0,0,1
전작,0,1,1,3,1,1,1,1,0,0
전주,0,0,1,0,1,0,0,0,1,0
전지적,5,1,0,0,1,0,0,0,3,0
전참시,10,6,0,2,1,0,0,0,6,0
전체,0,1,6,4,4,0,0,1,0,0
전통,0,1,1,1,2,0,0,0,0,0
전현무,20,8,0,4,3,0,0,0,12,0
전환,0,0,5,1,3,0,0,0,0,0
절반으로,0,0,4,2,2,0,0,0,0,0
점유율,0,0,3,1,1,0,0,0,1,0
정말,1,0,0,0,0,0,0,0,1,0
정보,0,0,0,2,0,0,0,0,0,0
정부,0,0,0,1,1,0,0,1,0,0
정부부채,0,0,0,0,1,0,0,0,0,0
정수기,0,6,7,7,6,35,8,28,0,6
정책,0,0,0,1,1,0,0,0,0,5
제2여객터미널,0,0,0,1,1,4,1,5,0,1
제공하,0,2,3,2,2,2,2,2,0,1
제공한다.,1,3,5,7,1,6,7,6,0,2
제조,0,0,2,2,1,0,1,1,0,2
제조사,0,1,5,4,1,0,0,0,0,0
제품,2,15,27,21,19,59,38,52,0,11
조나단,0,0,1,0,1,0,0,0,0,0
조용필,0,0,1,1,2,0,0,0,0,1
조지영,4,0,0,0,0,0,0,0,5,0
조직위,0,1,1,1,2,0,0,0,0,0
조화,0,0,2,1,1,4,5,4,0,0
조희대,0,0,1,1,2,0,0,0,0,0
종합,2,1,0,0,1,0,0,0,2,1
종희,0,1,0,0,0,0,0,0,0,0
주가,0,2,4,5,2,0,0,1,0,2
주문,0,0,0,1,0,0,0,0,0,1
주요,0,1,3,3,1,0,0,1,0,2
중국,0,3,16,12,7,0,0,1,1,1
중소기업,0,0,0,1,0,0,0,1,0,0
즐길,0,4,1,2,1,0,0,0,0,1
증가,0,1,0,2,1,0,1,0,0,1
증설,0,0,1,1,0,0,0,0,0,1
지금,0,0,1,0,1,0,0,0,1,0
지급,0,0,1,4,3,0,0,0,0,12
지난,2,3,12,12,8,1,1,4,3,3
지리,32,10,0,4,4,0,0,0,24,0
지리에,3,1,0,0,0,0,0,0,4,0
지원,1,0,1,1,1,0,0,0,0,1
직관적인,0,3,4,4,4,20,4,16,0,4
짝사랑,1,0,0,0,0,0,0,0,1,0
짬뽕,0,0,1,0,1,0,0,0,1,0
쯔양,0,0,1,0,1,0,0,0,0,0
차량,0,0,0,1,1,1,2,1,0,0
차별화된,0,0,0,1,1,4,1,5,0,1
차세대,1,0,0,2,0,1,2,1,0,0
차원,0,0,0,1,0,0,0,1,0,0
참견,5,1,0,0,1,0,0,0,3,0
찾아주,0,0,0,2,0,0,0,0,0,0
천옌순,0,0,5,1,2,0,0,0,0,0
첫사랑,0,1,0,0,0,0,0,0,0,0
체감할,1,0,1,1,1,0,0,0,0,1
체육관,0,1,0,0,0,0,0,0,0,0
촬영,0,1,2,3,2,1,1,1,0,0
최면,20,8,0,4,3,0,0,0,12,0
최면에,20,8,0,4,3,0,0,0,12,0
최신,0,0,1,2,0,0,0,0,0,0
최적,0,0,1,1,1,5,1,4,0,1
최현우,20,8,0,4,3,0,0,0,12,0
추가,1,0,1,1,1,0,0,0,0,1
추격,0,0,1,1,0,0,0,0,0,1
추억,0,1,0,0,0,0,0,0,0,0
축제,0,0,0,1,0,0,0,0,0,1
출력,0,2,2,3,0,1,1,1,0,1
출시,1,1,0,4,1,1,3,1,0,1
출하량,0,1,1,3,1,1,1,1,0,0
충돌,0,0,0,1,1,1,2,1,0,0
충돌시험,0,0,0,1,1,1,2,1,0,0
충전,0,1,1,1,1,1,1,1,0,0
치어리더,2,1,0,0,1,0,0,0,2,1
친절,0,0,0,1,0,0,0,0,0,1
카드,15,7,0,4,3,0,0,0,9,0
카메라,0,1,3,4,2,1,1,1,0,1
캠페인,1,0,1,1,3,0,0,0,0,1
커뮤니케이션,1,2,2,1,3,3,1,3,0,1
코닥,0,1,1,1,1,1,1,1,0,0
코미디TV,0,0,1,0,1,0,0,0,0,0
코웨,0,3,3,3,2,15,4,12,0,3
코웨이,0,3,4,4,4,20,4,16,0,3
콘덴싱,0,0,6,3,3,9,15,9,0,2
콘서트,0,0,1,1,2,0,0,0,0,1
콘셉트,0,6,9,6,5,6,6,6,0,2
콘텐츠,0,4,1,2,1,0,0,0,0,1
콜레오스,1,2,2,3,0,1,2,1,1,1
콩나물국밥,0,0,1,0,1,0,0,0,1,0
콰트로,1,2,2,3,0,1,2,1,1,1
크게,0,1,3,4,3,1,2,1,0,0
크기,0,1,1,1,1,1,1,1,0,0
크롬북,0,2,2,3,0,1,1,1,0,1
터보,1,2,2,3,0,1,2,1,1,1
