org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
메타,7.93 (2%),1.57 (0%),7.40 (1%),0.71 (0%),1.46 (0%),,4.91 (1%),4.56 (1%)
미디어텍,3.60 (1%),2.35 (1%),8.88 (1%),3.56 (1%),1.46 (0%),2.27 (2%),5.62 (1%),3.04 (1%)
벤츠,6.48 (1%),1.57 (0%),2.96 (0%),2.13 (0%),3.65 (1%),3.40 (3%),3.51 (1%),5.33 (1%)
비보,2.16 (0%),,,7.11 (1%),6.57 (1%),,2.11 (0%),
삼성디스플레이,26.48 (5%),19.73 (6%),43.52 (6%),39.58 (8%),66.70 (10%),9.53 (7%),47.91 (7%),45.53 (9%)
삼성전자,84.30 (18%),50.88 (16%),153.20 (22%),76.09 (15%),127.78 (19%),23.83 (19%),105.31 (17%),104.99 (22%)
샤오미,7.21 (2%),3.91 (1%),4.44 (1%),9.25 (2%),11.68 (2%),3.40 (3%),7.72 (1%),4.56 (1%)
샤프,,0.78 (0%),,1.42 (0%),2.19 (0%),,0.70 (0%),
선익시스템,1.44 (0%),3.13 (1%),2.22 (0%),4.27 (1%),6.57 (1%),,8.42 (1%),3.04 (1%)
소니,4.32 (1%),1.57 (0%),3.70 (1%),0.71 (0%),1.46 (0%),,5.62 (1%),2.28 (0%)
아마존,4.32 (1%),2.35 (1%),8.14 (1%),3.56 (1%),1.46 (0%),2.27 (2%),5.62 (1%),5.33 (1%)
아이씨디,2.16 (0%),2.35 (1%),4.44 (1%),2.13 (0%),5.84 (1%),,10.53 (2%),3.80 (1%)
알파벳,1.44 (0%),0.78 (0%),2.96 (0%),0.71 (0%),0.73 (0%),,2.11 (0%),2.28 (0%)
애플,44.67 (9%),35.22 (11%),34.04 (5%),86.76 (18%),89.08 (13%),11.35 (9%),46.33 (7%),29.67 (6%)
엔비디아,9.37 (2%),6.26 (2%),9.62 (1%),4.27 (1%),5.11 (1%),,4.91 (1%),9.13 (2%)
오포,2.16 (0%),,0.74 (0%),6.40 (1%),6.57 (1%),,1.40 (0%),
원익IPS,1.44 (0%),1.57 (0%),3.70 (1%),1.42 (0%),2.92 (0%),,6.32 (1%),2.28 (0%)
인텔,2.16 (0%),1.57 (0%),2.96 (0%),,1.46 (0%),2.27 (2%),1.40 (0%),0.76 (0%)
카카오,5.04 (1%),3.13 (1%),12.58 (2%),2.84 (1%),4.38 (1%),,9.83 (2%),5.33 (1%)
퀄컴,9.37 (2%),6.26 (2%),15.54 (2%),4.98 (1%),13.87 (2%),5.67 (5%),11.93 (2%),10.65 (2%)
텐센트,0.72 (0%),,0.74 (0%),,0.73 (0%),,,0.76 (0%)
폭스바겐,3.60 (1%),2.35 (1%),2.22 (0%),0.71 (0%),,,2.11 (0%),0.76 (0%)
하이센스,1.44 (0%),1.57 (0%),2.96 (0%),2.84 (1%),5.11 (1%),,4.91 (1%),3.04 (1%)
한미반도체,1.44 (0%),1.57 (0%),10.36 (1%),2.84 (1%),3.65 (1%),,7.72 (1%),4.56 (1%)
한화,6.05 (1%),4.11 (1%),,1.49 (0%),,,0.74 (0%),1.60 (0%)
한화솔루션,1.44 (0%),1.57 (0%),5.92 (1%),1.42 (0%),1.46 (0%),1.13 (1%),4.21 (1%),3.04 (1%)
한화시스템,2.88 (1%),1.57 (0%),6.66 (1%),1.42 (0%),2.19 (0%),,4.91 (1%),2.28 (0%)
현대모비스,9.37 (2%),3.91 (1%),22.20 (3%),4.98 (1%),8.03 (1%),,17.55 (3%),9.89 (2%)
현대자동차,5.04 (1%),1.57 (0%),8.88 (1%),2.13 (0%),2.19 (0%),2.27 (2%),4.21 (1%),3.04 (1%)
현대차,20.18 (4%),12.52 (4%),28.12 (4%),9.25 (2%),12.41 (2%),,25.27 (4%),18.26 (4%)
화웨이,2.16 (0%),0.78 (0%),1.48 (0%),0.71 (0%),4.38 (1%),1.13 (1%),0.70 (0%),0.76 (0%)
