org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
디지타임스,2.87 (1%),,,5.02 (0%),1.11 (0%),,7.80 (1%),0.82 (0%),5.61 (1%),,4.96 (0%),6.45 (1%)
레노버,0.72 (0%),,0.97 (0%),,,0.83 (0%),0.71 (0%),,0.70 (0%),,0.71 (0%),2.15 (0%)
마이크로소프트,,10.04 (1%),13.51 (5%),21.51 (2%),,,10.63 (1%),5.75 (1%),14.72 (1%),,9.22 (1%),5.74 (1%)
메타,15.78 (3%),21.51 (2%),,32.98 (3%),,12.49 (5%),21.98 (2%),,33.64 (3%),,25.52 (2%),13.62 (2%)
미디어텍,,2.87 (0%),,7.17 (1%),,,5.67 (0%),1.64 (0%),6.31 (1%),3.20 (1%),2.13 (0%),3.59 (1%)
벤츠,2.15 (0%),2.15 (0%),1.93 (1%),7.89 (1%),,,3.54 (0%),,3.50 (0%),,3.54 (0%),2.15 (0%)
비보,5.74 (1%),7.17 (1%),,6.45 (1%),,,26.94 (2%),,11.21 (1%),2.40 (1%),13.47 (1%),8.60 (1%)
삼성디스플레이,42.31 (8%),70.99 (7%),,90.35 (7%),,,89.32 (7%),,70.79 (7%),27.21 (7%),112.71 (8%),65.25 (10%)
삼성전자,,208.55 (21%),,145.31 (11%),89.66 (27%),,160.03 (12%),,123.64 (11%),73.96 (17%),180.87 (12%),88.84 (12%)
샤오미,17.21 (3%),22.95 (2%),,33.70 (3%),,,67.35 (5%),8.22 (2%),46.26 (4%),,51.04 (4%),22.23 (3%)
샤오펑,1.43 (0%),2.15 (0%),,2.87 (0%),,,2.13 (0%),,2.80 (0%),,3.54 (0%),1.43 (0%)
샤프,5.02 (1%),3.59 (0%),,5.74 (0%),,,11.34 (1%),4.11 (1%),9.11 (1%),,18.43 (1%),5.02 (1%)
선익시스템,3.59 (1%),6.45 (1%),,10.76 (1%),,,3.54 (0%),,3.50 (0%),2.40 (1%),6.38 (0%),3.59 (1%)
소니,,4.30 (0%),,13.62 (1%),,5.00 (2%),13.47 (1%),6.57 (2%),11.92 (1%),,12.76 (1%),3.59 (1%)
아마존,,12.63 (1%),,13.47 (1%),,2.93 (1%),8.33 (1%),,9.88 (1%),7.52 (2%),6.66 (0%),4.21 (1%)
아이씨디,2.15 (0%),2.15 (0%),,7.17 (1%),,,2.13 (0%),,1.40 (0%),0.80 (0%),3.54 (0%),2.15 (0%)
알파벳,2.87 (1%),5.02 (1%),,12.91 (1%),,,8.51 (1%),3.29 (1%),9.11 (1%),3.20 (1%),7.09 (0%),
애플,54.96 (10%),73.03 (7%),,90.35 (7%),,,138.45 (10%),,86.11 (8%),28.57 (7%),117.61 (8%),73.03 (10%)
엔비디아,,43.02 (5%),,29.40 (2%),,9.16 (4%),22.68 (2%),,25.93 (2%),18.41 (4%),15.60 (1%),7.17 (1%)
오포,7.89 (1%),7.89 (1%),,7.17 (1%),,,32.61 (2%),,10.51 (1%),,17.01 (1%),10.76 (2%)
원익IPS,4.30 (1%),7.89 (1%),,13.62 (1%),,,4.25 (0%),,4.91 (0%),4.80 (1%),11.34 (1%),4.30 (1%)
인텔,,3.59 (0%),0.97 (0%),3.59 (0%),,0.83 (0%),1.42 (0%),,2.10 (0%),,1.42 (0%),1.43 (0%)
카카오,,4.30 (0%),1.93 (1%),5.02 (0%),6.65 (2%),,2.13 (0%),,2.10 (0%),,3.54 (0%),2.15 (0%)
퀄컴,,5.74 (1%),,13.62 (1%),,6.66 (3%),6.38 (0%),10.68 (2%),9.11 (1%),,4.25 (0%),4.30 (1%)
하이센스,7.89 (1%),12.19 (1%),,17.93 (1%),,,25.52 (2%),9.86 (2%),18.93 (2%),,38.99 (3%),7.89 (1%)
한미반도체,0.72 (0%),1.43 (0%),,3.59 (0%),,,0.71 (0%),,0.70 (0%),0.80 (0%),2.13 (0%),0.72 (0%)
한화,,17.93 (2%),68.52 (25%),12.91 (1%),12.20 (4%),,17.01 (1%),19.72 (5%),20.33 (2%),16.01 (4%),,
한화솔루션,1.43 (0%),2.87 (0%),,5.74 (0%),,,2.13 (0%),2.47 (1%),2.80 (0%),3.20 (1%),4.25 (0%),
한화시스템,,6.45 (1%),58.87 (22%),5.74 (0%),9.98 (3%),5.00 (2%),,7.40 (2%),6.31 (1%),,,6.45 (1%)
현대모비스,,1.43 (0%),,5.74 (0%),,2.50 (1%),2.84 (0%),3.29 (1%),2.80 (0%),1.60 (0%),2.13 (0%),
현대자동차,,7.17 (1%),,24.38 (2%),,5.83 (3%),14.18 (1%),9.04 (2%),13.32 (1%),7.20 (2%),14.89 (1%),
현대차,,10.02 (1%),,23.12 (2%),,7.16 (3%),9.90 (1%),9.72 (2%),11.30 (1%),6.02 (1%),14.48 (1%),
화웨이,2.15 (0%),1.43 (0%),,1.43 (0%),,,9.92 (1%),0.82 (0%),5.61 (1%),,7.09 (0%),2.87 (0%)
